NUM_POSTE;NOM_USUEL;COMMUNE;LIEU_DIT;DATOUVR;DATFERM;LAT;LON;LAMBX;LAMBY;ALTI;TYPE_POSTE_ACTUEL
34335003;LE-PRADAL-SPC;VILLEMAGNE-L'ARGENTIERE;Le-Pradal;2020-07-01;;43.626667;3.111500;6626;18475;214;5
35002001;AMANLIS-SPC;AMANLIS;SPC-222-AMANLIS;2004-08-01;;48.009500;-1.473500;3157;23414;42;5
35012003;BAIN-DE-BRETAGNE-SPC;BAIN-DE-BRETAGNE;SPC-223-BAIN-DE-BRETAGNE;2004-08-01;;47.860000;-1.628333;3034;23253;105;5
35051001;CESSON-SEVIGNE-SPC;CESSON-SEVIGNE;SPC-222-CESSON-SEVIGNE(PONT-BRIAND);2004-08-01;2019-07-31;48.124167;-1.564167;3096;23544;35;5
35067001;CHASNE-SUR-ILLET-SPC;CHASNE-SUR-ILLET;SPC-223-CHASNE-SUR-ILLET;2004-08-01;;48.246667;-1.574333;3095;23681;57;5
35129002;GUIPRY-SPC;GUIPRY-MESSAC;SPC-223-GUIPRY;2004-08-01;2019-07-31;47.821667;-1.821667;2887;23218;30;5
35133001;IFFENDIC-SPC;IFFENDIC;;2018-02-03;;48.170000;-1.993667;2780;23612;43;5
35188004;MONTFORT-SUR-MEU-SPC;MONTFORT-SUR-MEU;SPC-222-MONTFORT(ABBAYE);2004-08-01;2018-02-05;48.128333;-1.943333;2815;23564;41;5
35194001;MONTREUIL-SOUS-PEROUSE-SPC;MONTREUIL-SOUS-PEROUSE;SPC-223-MONTREUIL-PEROUSE (CANTACHE);2004-08-01;2019-07-31;48.162667;-1.225000;3350;23575;65;5
35195001;MONTREUIL-SUR-ILLE-SPC;MONTREUIL-SUR-ILLE;SPC-222-MONTREUIL-SUR-ILLE(ECLUSE III);2004-08-01;2019-07-31;48.296667;-1.671667;3026;23740;55;5
35210001;PACE-SPC;PACE;SPC-223-PACE(TIXUE);2004-08-01;;48.181667;-1.778333;2940;23616;50;5
35328002;SIXT-SUR-AFF-SPC;SIXT-SUR-AFF;SPC-222-SIXT-SUR-AFF;2004-08-01;2008-07-31;47.784167;-2.083333;2689;23187;46;5
35341001;TREMBLAY-SPC;VAL-COUESNON;SPC-222-TREMBLAY;2017-01-15;2019-07-31;48.427500;-1.435000;3208;23877;54;5
36120001;MERS-SUR-INDRE-SPC;MERS-SUR-INDRE;SPC-223-Mers-sur-Indre;2006-09-01;2011-08-25;46.667500;1.875833;5647;21854;182;5
38334400;REFUGE DE LA PRA;REVEL;refuge de la Pra;2020-07-01;;45.156667;5.940000;8833;20238;2105;5
38375404;REFUGE DE LA PILATTE;SAINT-CHRISTOPHE-EN-OISANS;Glacier de la Pilatte;2020-07-01;2020-09-05;44.868833;6.325833;9152;19933;2574;5
38375405;REFUGE DU PROMONTOIRE;SAINT-CHRISTOPHE-EN-OISANS;Le Promontoire;2020-07-01;;44.992333;6.302000;9127;20070;3060;5
38375406;REFUGE DE TEMPLE ECRINS;SAINT-CHRISTOPHE-EN-OISANS;;2021-07-09;;44.902500;6.326000;9150;19971;2410;5
38522400;REFUGE DE FONT TURBA;VALJOUFFREY;Les Louvets;2020-07-01;;44.858833;6.174167;9033;19916;2167;5
39059001;BOIS D'AMONT CHALET-GAILLARD;BOIS-D'AMONT;;1980-11-01;;46.563333;6.121667;8900;21807;1230;5
39470400;LES ROUSSES_NEIGE;LES ROUSSES;Téleski les tuffes;2023-10-01;;46.453667;6.065500;8863;21683;1150;5
40224003;PEYREHORADE-SPC;PEYREHORADE;SPC-222-Peyrehorade;2004-08-01;;43.543333;-1.105500;3214;18440;9;5
40230002;PONTONX-SUR-L'ADOUR-SPC;PONTONX-SUR-L'ADOUR;SPC-222-Pontonx-sur-L'adour;2004-08-01;;43.784000;-0.925667;3371;18702;26;5
40331001;VILLENEUVE-DE-MARSAN-SPC;VILLENEUVE-DE-MARSAN;SPC-222-Villeneuve-de-Marsan;2004-08-01;;43.902000;-0.304333;3876;18814;85;5
41135003;MENNETOU-SUR-CHER-SPC;MENNETOU-SUR-CHER;SPC-223-MENNETOU-SUR-CHER;2004-08-01;;47.268333;1.870667;5647;22522;96;5
41232003;SALBRIS-SPC;SALBRIS;SPC-223-SALBRIS;2004-08-01;2011-03-25;47.423333;2.033000;5770;22693;106;5
42005003;ANDREZIEUX-BOUTHEON-SPC;ANDREZIEUX-BOUTHEON;SPC-223-Andrezieux-Boutheon;2004-08-01;2011-08-25;45.528333;4.251667;7496;20605;380;5
42059002;CHAZELLES-SUR-LYON-SPC;CHAZELLES-SUR-LYON;SPC-222-Moulin-Brulé;2011-01-01;;45.610167;4.375667;7590;20698;430;5
42069001;COMMELLE-VERNAY-SPC;COMMELLE-VERNAY;SPC-223-Commelle-Vernay;2004-08-01;2014-11-01;45.985833;4.048333;7326;21110;351;5
42094004;FEURS-SPC;FEURS;SPC-223-Amont;2004-08-01;;45.741667;4.211667;7459;20841;342;5
42098002;FOURNEAUX-SPC;FOURNEAUX;SPC-223-Fourneaux;2006-09-01;;45.936667;4.267667;7497;21059;489;5
42159003;NOIRETABLE-SPC;NOIRETABLE;SPC-222-Noiretable;2004-08-01;;45.820667;3.760000;7106;20922;708;5
42188001;ROCHE-SPC;ROCHE;SPC-223-ROCHE;2017-12-01;;45.617667;3.937833;7249;20699;1011;5
42218018;ST-ETIENNE-SPC;SAINT-ETIENNE;SPC-223-Les Essertines;2016-09-28;;45.386667;4.456000;7660;20451;995;5
42224004;SAINT-GENEST-MALIFAUX-SPC;SAINT-GENEST-MALIFAUX;SPC-222-St-Genest-Malifaux;2004-08-01;;45.343500;4.420833;7633;20403;960;5
42227003;SAINT-GEORGES-EN-COUZAN-SPC;SAINT-GEORGES-EN-COUZAN;SPC-222-St-Georges-en-Couzan;2004-08-01;;45.701500;3.927667;7239;20792;820;5
42248004;SAINT-JUST-EN-CHEVALET-SPC;SAINT-JUST-EN-CHEVALET;SPC-223-St-Just-en-Chevalet;2004-08-01;;45.908333;3.843333;7169;21020;647;5
42291001;SAINT-THURIN-SPC;VETRE-SUR-ANZON;Pic de Mayen;2019-05-13;;45.827500;3.878000;7197;20931;717;5
42306002;PAS-DE-RIOT-SPC;TARENTAISE;SPC-222-Tarentaise(Pas de Riot);2004-08-01;2017-03-02;45.379333;4.458000;7661;20443;881;5
42332001;VILLEREST-BARRAGE-SPC;VILLEREST;BARRAGE;1999-09-01;;45.987833;4.044333;7323;21112;329;5
43012001;AUREC-SUR-LOIRE-SPC;AUREC-SUR-LOIRE;;2021-06-07;;45.388500;4.177833;7442;20448;820;5
43020003;BAS-EN-BASSET3-SPC;BAS-EN-BASSET;SPC-222-Bas-en-Basset(3);2004-08-01;2017-09-20;45.303667;4.114500;7394;20353;468;5
43025001;BEAUZAC-SPC;BEAUZAC;SPC-223-Chanteduc;2016-06-06;;45.261500;4.131500;7409;20306;643;5
43040002;BRIOUDE-SPC;BRIOUDE;SPC-223-Brioude;2004-08-01;;45.299167;3.390833;6827;20337;437;5
43042002;CAYRES-SPC;CAYRES;SPC-223-Cayres;2004-08-01;;44.920000;3.805333;7160;19921;1114;5
43048003;LA-CHAISE-DIEU-SPC;LA CHAISE-DIEU;SPC-222-La Chaise-Dieu;2004-08-01;;45.326667;3.698167;7067;20372;1073;5
43051002;LE CHAMBON-SUR-LIGNON 1-SPC;LE CHAMBON-SUR-LIGNON;SPC-222-Chambon-sur-Lignon(1);2004-08-01;2007-06-13;45.056667;4.301667;7548;20082;958;5
43051003;LE-CHAMBON-SUR-LIGNON-SPC;LE CHAMBON-SUR-LIGNON;SPC-222-Chambon-sur-Lignon(2);2004-08-01;;45.057500;4.302500;7548;20083;958;5
43053002;CHAMPCLAUSE-SPC;CHAMPCLAUSE;SPC-223-BOUSSOULET;2018-05-31;;45.033333;4.119000;7405;20052;1243;5
43080002;CRAPONNE-SUR-ARZON-SPC;CRAPONNE-SUR-ARZON;SPC-223-CRAPONNE-SUR-ARZON;2017-12-01;;45.345000;3.851000;7187;20394;1012;5
43092002;FAY-SUR-LIGNON-SPC;FAY-SUR-LIGNON;SPC-223-Fay-sur-Lignon;2004-08-01;2021-03-01;44.983500;4.228333;7492;19999;1180;5
43092003;LES-VASTRES-SPC;FAY-SUR-LIGNON;SPC-223-Pont-Marie;2005-07-07;;44.990500;4.242000;7503;20007;1080;5
43095003;FIX-SAINT-GENEYS-SPC;FIX-SAINT-GENEYS;SPC-223-Fix-St-Geneys;2004-08-01;;45.145833;3.665000;7045;20170;1110;5
43101001;GOUDET 1-SPC;GOUDET;SPC-222-Goudet(1);2004-08-01;2011-06-24;44.888333;3.921667;7252;19888;785;5
43101002;GOUDET-SPC;GOUDET;SPC-222-Goudet;2004-08-01;;44.888333;3.921667;7252;19888;785;5
43135003;LE-MONASTIER-SUR-GAZEILLE1-SPC;LE MONASTIER-SUR-GAZEILLE;SPC-222-Monastier-sur-Gazeille;2004-08-01;2017-05-31;44.946333;3.988333;7304;19953;940;5
43135004;LE-MONASTIER-SUR-GAZEILLE-SPC;LE MONASTIER-SUR-GAZEILLE;SPC-223-La Besseyre Haute;2014-02-19;;44.928000;4.040333;7345;19934;930;5
43135005;LE-MONASTIER-SUR-GAZEILLE2-SPC;LE MONASTIER-SUR-GAZEILLE;SPC-223-La Moutette;2016-09-28;;44.940167;4.000333;7313;19947;1010;5
43141001;MONTFAUCON-EN-VELAY-SPC;MONTFAUCON-EN-VELAY;SPC-222-Montfaucon-en-Velay;2004-08-01;;45.186500;4.326333;7564;20226;919;5
43157008;CHADRAC-SPC;LE PUY-EN-VELAY;SPC-223-Le Puy-en-Velay;2004-08-01;;45.055167;3.894333;7227;20073;715;5
43163001;RIOTORD-SPC;RIOTORD;SPC-223-LES-SETOUX;2019-12-01;;45.224333;4.455500;7664;20271;1158;5
43186003;ST-FRONT-SPC;SAINT-FRONT;SPC-223-Machabert;2004-08-01;;44.981000;4.118167;7405;19994;1225;5
43199001;SAINT-JEURES-SPC;SAINT-JEURES;SPC-222-St-Jeures;2004-08-01;;45.077333;4.216333;7480;20103;1040;5
43203001;ST-JULIEN-DU-PINET-SPC;SAINT-JULIEN-DU-PINET;SPC-223-Mortessagne;2004-08-01;;45.144333;4.054167;7351;20174;942;5
43234006;SAUGUES-SPC;SAUGUES;SPC-223-Saugues;2004-08-01;;44.971167;3.550833;6958;19975;963;5
43245003;THORAS-SPC;THORAS;SPC-223-Thoras;2006-09-01;;44.864167;3.562167;6969;19856;1083;5
44044001;CONQUEREUIL-SPC;CONQUEREUIL;SPC-222-CONQUEREUIL;2004-08-01;2019-07-31;47.619333;-1.741500;2935;22990;28;5
44051003;DERVAL-SPC;DERVAL;SPC-223-DERVAL(CHERE-MOUAIS);2004-08-01;;47.710333;-1.704167;2968;23090;55;5
45229001;NOGENT-SUR-V.;NOGENT-SUR-VERNISSON;LES BARRES;1873-01-01;;47.834833;2.757667;6315;23151;145;5
45234009;ORLEANS-INRAE;ORLEANS;;2012-02-09;;47.827167;1.909333;5680;23143;103;5
46015001;BAGNAC-SUR-CELE-SPC;BAGNAC-SUR-CELE;SPC-222-Bagnac-sur-Cele;2004-08-01;;44.664500;2.158333;5858;19626;240;5
46038004;BRETENOUX-SPC;BRETENOUX;SPC-222-Bretenoux;2004-08-01;;44.915500;1.838667;5606;19907;136;5
46055001;CAPDENAC-SPC;CAPDENAC;SPC-222-Capdenac;2004-08-01;;44.573000;2.070000;5788;19525;168;5
46058002;CARENNAC-SPC;CARENNAC;SPC-222-Carennac;2004-08-01;;44.915667;1.744667;5532;19907;127;5
46102009;FIGEAC-SPC;FIGEAC;SPC-222-Figeac;2004-08-01;;44.607000;2.034167;5759;19563;198;5
46113002;FRAYSSINET-SPC;SAINT-CHAMARAND;SPC-222-Frayssinet(Pont de Rodes);2004-08-01;;44.672500;1.476000;5317;19639;255;5
46117001;GAGNAC-SUR-CERE-SPC;GAGNAC-SUR-CERE;SPC-222-Gagnac-sur-cére(Brugales);2004-08-01;;44.942500;1.917500;5669;19936;150;5
46255001;SAINT-CIRGUES-SPC;SAINT-CIRGUES;SPC-222-St-Cirgues;2004-08-01;;44.736667;2.121000;5829;19707;540;5
46297004;SALVIAC-PONT DE JARDEL-SPC;SALVIAC;SPC-222-Salviac-Pont de Jardel;2004-08-01;;44.714833;1.287500;5168;19688;135;5
46308001;SOUCIRAC-SPC;SOUCIRAC;SPC-223-Soucirac;2005-01-01;;44.721000;1.511000;5345;19693;341;5
46309006;SOUILLAC-SPC;LANZAC;SPC-222-Souillac;2004-08-01;;44.882500;1.484167;5326;19872;120;5
47001006;AGEN-SPC;AGEN;SPC-223-Agen;2013-04-23;2021-09-30;44.202333;0.609167;4618;19128;57;5
47143002;LAVARDAC-SPC;LAVARDAC;SPC-222-Lavardac;2006-01-01;;44.181500;0.298000;4368;19110;48;5
47167005;MEZIN-SPC;MEZIN;SPC-222-Mezin;2006-01-01;;44.075167;0.247167;4324;18993;70;5
48014002;BAGNOLS-LES-BAINS-SPC;MONT LOZERE ET GOULET;SPC-223-Bagnols-les-bains;2004-08-01;;44.506667;3.666667;7058;19460;923;5
48019003;BARRE-DES-CEVENNES-SPC;BARRE-DES-CEVENNES;SPC-222-Barre des Cévennes;2000-01-01;;44.238833;3.657167;7055;19162;920;5
48036005;CASSAGNAS-SPC;CASSAGNAS;SPC-223-Cassagnas;2004-08-01;;44.271167;3.730833;7114;19199;837;5
