Commune,Température moyenne mensuelle,Température maximale,Température minimale,Date,Saison,Année,Température moyenne annuelle,Centile_25%,Centile_50% (Médiane),Centile_75%
ARCHIGNAT,9.6,14.1,5.6,1991-10-01,Automne,1991,9.6,9.6,9.6,9.6
ARCHIGNAT,20.0,26.0,14.5,1992-08-01,Été,1992,20.0,20.0,20.0,20.0
ARCHIGNAT,6.2,9.7,2.6,1993-01-01,Hiver,1993,11.28,7.2,11.65,15.899999999999999
ARCHIGNAT,2.1,7.0,-1.8,1993-02-01,Hiver,1993,11.28,7.2,11.65,15.899999999999999
ARCHIGNAT,6.5,11.7,1.4,1993-03-01,Printemps,1993,11.28,7.2,11.65,15.899999999999999
ARCHIGNAT,10.0,14.6,5.6,1993-04-01,Printemps,1993,11.28,7.2,11.65,15.899999999999999
ARCHIGNAT,13.3,18.4,8.3,1993-05-01,Printemps,1993,11.28,7.2,11.65,15.899999999999999
ARCHIGNAT,16.7,21.9,11.7,1993-06-01,Été,1993,11.28,7.2,11.65,15.899999999999999
ARCHIGNAT,17.3,23.0,12.0,1993-07-01,Été,1993,11.28,7.2,11.65,15.899999999999999
ARCHIGNAT,17.9,24.5,11.8,1993-08-01,Été,1993,11.28,7.2,11.65,15.899999999999999
ARCHIGNAT,13.5,18.3,9.6,1993-09-01,Automne,1993,11.28,7.2,11.65,15.899999999999999
ARCHIGNAT,9.3,13.0,6.6,1993-10-01,Automne,1993,11.28,7.2,11.65,15.899999999999999
ARCHIGNAT,7.7,11.9,4.1,1994-04-01,Printemps,1994,14.1,10.55,13.4,17.3
ARCHIGNAT,13.4,18.9,8.4,1994-05-01,Printemps,1994,14.1,10.55,13.4,17.3
ARCHIGNAT,21.2,27.6,15.6,1994-07-01,Été,1994,14.1,10.55,13.4,17.3
ARCHIGNAT,13.2,18.5,7.8,1995-05-01,Printemps,1995,14.25,13.725,14.25,14.775
ARCHIGNAT,15.3,20.6,9.8,1995-06-01,Été,1995,14.25,13.725,14.25,14.775
ARCHIGNAT,1.9,4.4,-0.5,1996-02-01,Hiver,1996,1.9,1.9,1.9,1.9
ARCHIGNAT,8.1,12.3,4.5,1997-11-01,Automne,1997,8.1,8.1,8.1,8.1
ARCHIGNAT,4.5,7.4,1.5,1999-12-01,Hiver,1999,4.5,4.5,4.5,4.5
ARCHIGNAT,4.7,8.2,1.4,2001-02-01,Hiver,2001,9.5,6.85,9.0,11.9
ARCHIGNAT,9.0,12.9,5.6,2001-03-01,Printemps,2001,9.5,6.85,9.0,11.9
ARCHIGNAT,14.8,20.5,10.2,2001-10-01,Automne,2001,9.5,6.85,9.0,11.9
ARCHIGNAT,11.8,16.3,7.2,2002-10-01,Automne,2002,9.5,8.35,9.5,10.65
ARCHIGNAT,7.2,9.5,5.2,2002-12-01,Hiver,2002,9.5,8.35,9.5,10.65
ARCHIGNAT,9.2,15.0,3.5,2003-03-01,Printemps,2003,7.466666666666666,6.6,9.1,9.149999999999999
ARCHIGNAT,9.1,13.6,5.4,2003-10-01,Automne,2003,7.466666666666666,6.6,9.1,9.149999999999999
ARCHIGNAT,4.1,7.1,1.2,2003-12-01,Hiver,2003,7.466666666666666,6.6,9.1,9.149999999999999
ARCHIGNAT,13.1,17.6,9.4,2004-10-01,Automne,2004,7.366666666666667,4.5,6.0,9.55
ARCHIGNAT,6.0,9.2,3.2,2004-11-01,Automne,2004,7.366666666666667,4.5,6.0,9.55
ARCHIGNAT,3.0,6.1,0.3,2004-12-01,Hiver,2004,7.366666666666667,4.5,6.0,9.55
ARCHIGNAT,3.7,7.0,0.7,2005-01-01,Hiver,2005,12.088888888888889,6.9,14.2,17.8
ARCHIGNAT,0.9,4.0,-1.5,2005-02-01,Hiver,2005,12.088888888888889,6.9,14.2,17.8
ARCHIGNAT,6.9,11.6,2.6,2005-03-01,Printemps,2005,12.088888888888889,6.9,14.2,17.8
ARCHIGNAT,10.2,15.1,5.6,2005-04-01,Printemps,2005,12.088888888888889,6.9,14.2,17.8
ARCHIGNAT,14.2,20.0,8.6,2005-05-01,Printemps,2005,12.088888888888889,6.9,14.2,17.8
ARCHIGNAT,19.4,26.4,12.6,2005-06-01,Été,2005,12.088888888888889,6.9,14.2,17.8
ARCHIGNAT,19.8,25.7,14.1,2005-07-01,Été,2005,12.088888888888889,6.9,14.2,17.8
ARCHIGNAT,17.8,24.4,11.4,2005-08-01,Été,2005,12.088888888888889,6.9,14.2,17.8
ARCHIGNAT,15.9,21.8,10.7,2005-09-01,Automne,2005,12.088888888888889,6.9,14.2,17.8
ARCHIGNAT,2.5,5.7,0.0,2006-01-01,Hiver,2006,11.5,5.8500000000000005,11.55,16.825
ARCHIGNAT,1.8,4.5,-0.6,2006-02-01,Hiver,2006,11.5,5.8500000000000005,11.55,16.825
ARCHIGNAT,6.4,10.8,2.6,2006-03-01,Printemps,2006,11.5,5.8500000000000005,11.55,16.825
ARCHIGNAT,9.5,14.4,4.7,2006-04-01,Printemps,2006,11.5,5.8500000000000005,11.55,16.825
ARCHIGNAT,13.6,18.2,9.3,2006-05-01,Printemps,2006,11.5,5.8500000000000005,11.55,16.825
ARCHIGNAT,18.5,24.7,12.1,2006-06-01,Été,2006,11.5,5.8500000000000005,11.55,16.825
ARCHIGNAT,23.4,29.3,16.6,2006-07-01,Été,2006,11.5,5.8500000000000005,11.55,16.825
ARCHIGNAT,16.4,21.2,12.6,2006-08-01,Été,2006,11.5,5.8500000000000005,11.55,16.825
ARCHIGNAT,18.1,23.7,13.1,2006-09-01,Automne,2006,11.5,5.8500000000000005,11.55,16.825
