Commune,Température moyenne mensuelle,Température maximale,Température minimale,Date,Saison,Année,Température moyenne annuelle,Centile_25%,Centile_50% (Médiane),Centile_75%
BLAIN,12.7,19.2,6.5,2022-04-01,Printemps,2022,15.511111111111111,12.7,16.0,18.6
BLAIN,16.0,23.0,9.0,2022-05-01,Printemps,2022,15.511111111111111,12.7,16.0,18.6
BLAIN,18.6,25.2,12.1,2022-06-01,Été,2022,15.511111111111111,12.7,16.0,18.6
BLAIN,21.5,29.4,13.1,2022-07-01,Été,2022,15.511111111111111,12.7,16.0,18.6
BLAIN,22.0,29.6,15.0,2022-08-01,Été,2022,15.511111111111111,12.7,16.0,18.6
BLAIN,16.5,23.5,10.8,2022-09-01,Automne,2022,15.511111111111111,12.7,16.0,18.6
BLAIN,15.7,21.3,11.7,2022-10-01,Automne,2022,15.511111111111111,12.7,16.0,18.6
BLAIN,10.6,15.6,6.8,2022-11-01,Automne,2022,15.511111111111111,12.7,16.0,18.6
BLAIN,6.0,9.0,3.0,2022-12-01,Hiver,2022,15.511111111111111,12.7,16.0,18.6
BLAIN,6.8,10.0,4.1,2023-01-01,Hiver,2023,13.4,9.55,12.75,18.8
BLAIN,6.3,11.6,2.4,2023-02-01,Hiver,2023,13.4,9.55,12.75,18.8
BLAIN,9.8,14.2,6.1,2023-03-01,Printemps,2023,13.4,9.55,12.75,18.8
BLAIN,11.0,16.5,5.8,2023-04-01,Printemps,2023,13.4,9.55,12.75,18.8
BLAIN,15.7,21.8,9.8,2023-05-01,Printemps,2023,13.4,9.55,12.75,18.8
BLAIN,20.6,27.8,13.6,2023-06-01,Été,2023,13.4,9.55,12.75,18.8
BLAIN,18.7,24.7,13.3,2023-07-01,Été,2023,13.4,9.55,12.75,18.8
BLAIN,19.1,25.0,14.0,2023-08-01,Été,2023,13.4,9.55,12.75,18.8
BLAIN,19.4,26.5,13.8,2023-09-01,Automne,2023,13.4,9.55,12.75,18.8
BLAIN,14.5,20.9,9.5,2023-10-01,Automne,2023,13.4,9.55,12.75,18.8
BLAIN,10.1,14.4,6.4,2023-11-01,Automne,2023,13.4,9.55,12.75,18.8
BLAIN,8.8,12.1,5.7,2023-12-01,Hiver,2023,13.4,9.55,12.75,18.8
BOUGUENAIS,3.8,7.2,0.9,1950-01-01,Hiver,1950,11.65,8.899999999999999,10.55,15.725
BOUGUENAIS,8.0,11.9,4.3,1950-02-01,Hiver,1950,11.65,8.899999999999999,10.55,15.725
BOUGUENAIS,9.2,14.5,4.4,1950-03-01,Printemps,1950,11.65,8.899999999999999,10.55,15.725
BOUGUENAIS,9.7,14.6,4.9,1950-04-01,Printemps,1950,11.65,8.899999999999999,10.55,15.725
BOUGUENAIS,14.8,19.8,9.4,1950-05-01,Printemps,1950,11.65,8.899999999999999,10.55,15.725
BOUGUENAIS,18.8,24.2,13.2,1950-06-01,Été,1950,11.65,8.899999999999999,10.55,15.725
BOUGUENAIS,19.5,24.8,14.2,1950-07-01,Été,1950,11.65,8.899999999999999,10.55,15.725
