Commune,Température moyenne mensuelle,Température maximale,Température minimale,Date,Saison,Année,Température moyenne annuelle,Centile_25%,Centile_50% (Médiane),Centile_75%
ALBON,7.9,13.1,4.3,1997-11-01,Automne,1997,6.7,6.1,6.7,7.300000000000001
ALBON,5.5,8.7,2.9,1997-12-01,Hiver,1997,6.7,6.1,6.7,7.300000000000001
ALBON,5.0,8.5,2.1,1998-01-01,Hiver,1998,5.4750000000000005,4.2250000000000005,4.7,5.95
ALBON,8.8,14.3,4.0,1998-03-01,Printemps,1998,5.4750000000000005,4.2250000000000005,4.7,5.95
ALBON,4.4,8.7,0.9,1998-11-01,Automne,1998,5.4750000000000005,4.2250000000000005,4.7,5.95
ALBON,3.7,7.6,0.8,1998-12-01,Hiver,1998,5.4750000000000005,4.2250000000000005,4.7,5.95
ALBON,4.7,9.4,1.7,1999-01-01,Hiver,1999,7.540000000000001,4.8,5.8,9.4
ALBON,9.4,15.0,4.6,1999-03-01,Printemps,1999,7.540000000000001,4.8,5.8,9.4
ALBON,13.0,18.5,8.8,1999-10-01,Automne,1999,7.540000000000001,4.8,5.8,9.4
ALBON,5.8,9.2,3.2,1999-11-01,Automne,1999,7.540000000000001,4.8,5.8,9.4
ALBON,4.8,8.7,1.2,1999-12-01,Hiver,1999,7.540000000000001,4.8,5.8,9.4
ALBON,2.8,6.6,-0.1,2000-01-01,Hiver,2000,9.0,5.575,6.8,10.225
ALBON,6.5,11.7,2.4,2000-02-01,Hiver,2000,9.0,5.575,6.8,10.225
ALBON,19.6,26.2,13.4,2000-07-01,Été,2000,9.0,5.575,6.8,10.225
ALBON,7.1,11.4,3.9,2000-12-01,Hiver,2000,9.0,5.575,6.8,10.225
ALBON,6.3,9.7,3.0,2001-01-01,Hiver,2001,6.433333333333334,3.0,6.4,9.5
ALBON,6.5,11.2,2.9,2001-02-01,Hiver,2001,6.433333333333334,3.0,6.4,9.5
ALBON,11.5,16.4,7.3,2001-03-01,Printemps,2001,6.433333333333334,3.0,6.4,9.5
ALBON,10.5,16.0,6.0,2001-04-01,Printemps,2001,6.433333333333334,3.0,6.4,9.5
ALBON,1.9,5.2,-1.0,2001-12-01,Hiver,2001,6.433333333333334,3.0,6.4,9.5
ALBON,3.1,8.6,-0.8,2002-01-01,Hiver,2002,10.14,7.8,10.0,13.0
ALBON,10.0,15.8,5.0,2002-03-01,Printemps,2002,10.14,7.8,10.0,13.0
ALBON,16.8,22.0,11.9,2002-09-01,Automne,2002,10.14,7.8,10.0,13.0
ALBON,1.9,5.0,-1.3,2001-12-01,Hiver,2001,6.433333333333334,3.0,6.4,9.5
ALBON,7.8,12.3,3.6,2002-02-01,Hiver,2002,10.14,7.8,10.0,13.0
ALBON,13.0,18.8,7.7,2002-10-01,Automne,2002,10.14,7.8,10.0,13.0
ALBON,3.1,6.1,0.1,2003-01-01,Hiver,2003,12.922222222222222,4.7,11.0,17.4
ALBON,3.4,8.2,-0.6,2003-02-01,Hiver,2003,12.922222222222222,4.7,11.0,17.4
ALBON,8.9,16.9,2.2,2003-03-01,Printemps,2003,12.922222222222222,4.7,11.0,17.4
ALBON,17.3,23.8,10.7,2003-05-01,Printemps,2003,12.922222222222222,4.7,11.0,17.4
ALBON,25.2,32.9,17.2,2003-06-01,Été,2003,12.922222222222222,4.7,11.0,17.4
ALBON,25.3,34.7,16.8,2003-08-01,Été,2003,12.922222222222222,4.7,11.0,17.4
ALBON,17.4,24.4,11.3,2003-09-01,Automne,2003,12.922222222222222,4.7,11.0,17.4
ALBON,11.0,16.0,6.8,2003-10-01,Automne,2003,12.922222222222222,4.7,11.0,17.4
ALBON,4.7,8.5,1.5,2003-12-01,Hiver,2003,12.922222222222222,4.7,11.0,17.4
ALBON,4.3,7.3,1.5,2004-01-01,Hiver,2004,8.183333333333334,4.0,5.6,13.05
ALBON,3.9,9.1,-0.2,2004-02-01,Hiver,2004,8.183333333333334,4.0,5.6,13.05
ALBON,15.1,21.8,8.1,2004-05-01,Printemps,2004,8.183333333333334,4.0,5.6,13.05
ALBON,15.2,20.0,11.1,2004-10-01,Automne,2004,8.183333333333334,4.0,5.6,13.05
ALBON,6.9,10.6,3.5,2004-11-01,Automne,2004,8.183333333333334,4.0,5.6,13.05
ALBON,3.7,6.2,1.5,2004-12-01,Hiver,2004,8.183333333333334,4.0,5.6,13.05
ALBON,2.4,7.2,-1.2,2005-01-01,Hiver,2005,13.580000000000002,8.675,15.850000000000001,18.975
ALBON,1.8,6.3,-1.6,2005-02-01,Hiver,2005,13.580000000000002,8.675,15.850000000000001,18.975
ALBON,7.8,14.4,2.0,2005-03-01,Printemps,2005,13.580000000000002,8.675,15.850000000000001,18.975
ALBON,11.3,17.0,5.3,2005-04-01,Printemps,2005,13.580000000000002,8.675,15.850000000000001,18.975
ALBON,16.3,22.6,9.7,2005-05-01,Printemps,2005,13.580000000000002,8.675,15.850000000000001,18.975
ALBON,21.5,28.3,14.3,2005-06-01,Été,2005,13.580000000000002,8.675,15.850000000000001,18.975
ALBON,22.4,29.1,15.4,2005-07-01,Été,2005,13.580000000000002,8.675,15.850000000000001,18.975
ALBON,19.5,26.0,13.1,2005-08-01,Été,2005,13.580000000000002,8.675,15.850000000000001,18.975
ALBON,17.4,24.1,11.9,2005-09-01,Automne,2005,13.580000000000002,8.675,15.850000000000001,18.975
ALBON,15.4,21.1,10.8,2005-10-01,Automne,2005,13.580000000000002,8.675,15.850000000000001,18.975
ALBON,1.6,5.2,-1.2,2006-01-01,Hiver,2006,13.033333333333333,6.975,14.0,18.975
ALBON,3.3,7.2,-0.2,2006-02-01,Hiver,2006,13.033333333333333,6.975,14.0,18.975
ALBON,7.7,12.6,3.6,2006-03-01,Printemps,2006,13.033333333333333,6.975,14.0,18.975
ALBON,12.0,17.9,6.2,2006-04-01,Printemps,2006,13.033333333333333,6.975,14.0,18.975
ALBON,16.1,22.3,10.1,2006-05-01,Printemps,2006,13.033333333333333,6.975,14.0,18.975
ALBON,21.0,28.2,13.6,2006-06-01,Été,2006,13.033333333333333,6.975,14.0,18.975
ALBON,25.2,33.1,17.3,2006-07-01,Été,2006,13.033333333333333,6.975,14.0,18.975
ALBON,18.7,24.9,13.1,2006-08-01,Été,2006,13.033333333333333,6.975,14.0,18.975
ALBON,19.8,26.0,13.9,2006-09-01,Automne,2006,13.033333333333333,6.975,14.0,18.975
ALBON,16.0,21.5,11.1,2006-10-01,Automne,2006,13.033333333333333,6.975,14.0,18.975
ALBON,10.2,15.2,6.0,2006-11-01,Automne,2006,13.033333333333333,6.975,14.0,18.975
ALBON,4.8,8.2,1.5,2006-12-01,Hiver,2006,13.033333333333333,6.975,14.0,18.975
ALBON,6.2,10.1,2.6,2007-01-01,Hiver,2007,12.525,7.275,13.25,17.3
ALBON,7.5,12.4,3.2,2007-02-01,Hiver,2007,12.525,7.275,13.25,17.3
ALBON,8.5,14.0,3.2,2007-03-01,Printemps,2007,12.525,7.275,13.25,17.3
ALBON,14.5,23.0,6.9,2007-04-01,Printemps,2007,12.525,7.275,13.25,17.3
ALBON,16.6,22.3,11.1,2007-05-01,Printemps,2007,12.525,7.275,13.25,17.3
ALBON,19.4,25.4,13.6,2007-06-01,Été,2007,12.525,7.275,13.25,17.3
ALBON,20.6,27.1,14.2,2007-07-01,Été,2007,12.525,7.275,13.25,17.3
