Commune,Température moyenne mensuelle,Température maximale,Température minimale,Date,Saison,Année,Température moyenne annuelle,Centile_25%,Centile_50% (Médiane),Centile_75%
ANGEAC-CHAMPAGNE,15.1,20.4,10.9,1993-09-01,Automne,1993,15.1,15.1,15.1,15.1
ANGEAC-CHAMPAGNE,6.2,9.8,3.0,1995-01-01,Hiver,1995,8.1,7.6,9.0,9.05
ANGEAC-CHAMPAGNE,9.1,12.7,5.8,1995-02-01,Hiver,1995,8.1,7.6,9.0,9.05
ANGEAC-CHAMPAGNE,9.0,13.8,5.1,1995-11-01,Automne,1995,8.1,7.6,9.0,9.05
ANGEAC-CHAMPAGNE,4.3,8.1,1.7,1997-01-01,Hiver,1997,4.3,4.3,4.3,4.3
ANGEAC-CHAMPAGNE,5.8,9.6,2.6,1998-12-01,Hiver,1998,5.8,5.8,5.8,5.8
ANGEAC-CHAMPAGNE,6.1,9.5,2.8,1999-02-01,Hiver,1999,12.05,9.075,12.05,15.025
ANGEAC-CHAMPAGNE,18.0,23.9,12.5,1999-06-01,Été,1999,12.05,9.075,12.05,15.025
ANGEAC-CHAMPAGNE,17.7,24.3,12.4,2000-09-01,Automne,2000,17.7,17.7,17.7,17.7
ANGEAC-CHAMPAGNE,15.4,21.1,10.2,2003-05-01,Printemps,2003,15.4,15.4,15.4,15.4
ANGEAC-CHAMPAGNE,14.2,19.4,10.7,2004-10-01,Automne,2004,9.1,6.550000000000001,7.9,11.05
ANGEAC-CHAMPAGNE,7.9,12.1,4.6,2004-11-01,Automne,2004,9.1,6.550000000000001,7.9,11.05
ANGEAC-CHAMPAGNE,5.2,8.9,2.2,2004-12-01,Hiver,2004,9.1,6.550000000000001,7.9,11.05
ANGEAC-CHAMPAGNE,6.1,9.5,3.1,2005-01-01,Hiver,2005,13.977777777777778,9.1,15.8,19.8
ANGEAC-CHAMPAGNE,4.1,8.3,0.8,2005-02-01,Hiver,2005,13.977777777777778,9.1,15.8,19.8
ANGEAC-CHAMPAGNE,9.1,14.5,4.2,2005-03-01,Printemps,2005,13.977777777777778,9.1,15.8,19.8
ANGEAC-CHAMPAGNE,12.0,17.5,7.4,2005-04-01,Printemps,2005,13.977777777777778,9.1,15.8,19.8
ANGEAC-CHAMPAGNE,15.8,22.0,10.2,2005-05-01,Printemps,2005,13.977777777777778,9.1,15.8,19.8
ANGEAC-CHAMPAGNE,20.9,27.5,14.5,2005-06-01,Été,2005,13.977777777777778,9.1,15.8,19.8
ANGEAC-CHAMPAGNE,20.9,27.2,15.0,2005-07-01,Été,2005,13.977777777777778,9.1,15.8,19.8
ANGEAC-CHAMPAGNE,19.8,27.0,13.3,2005-08-01,Été,2005,13.977777777777778,9.1,15.8,19.8
ANGEAC-CHAMPAGNE,17.1,23.9,11.5,2005-09-01,Automne,2005,13.977777777777778,9.1,15.8,19.8
ANGEAC-CHAMPAGNE,4.7,8.6,2.6,2006-01-01,Hiver,2006,4.7,4.7,4.7,4.7
BAIGNES-SAINTE-RADEGONDE,8.9,16.3,4.3,1990-03-01,Printemps,1990,11.7,8.9,9.8,16.4
BAIGNES-SAINTE-RADEGONDE,9.8,15.2,5.2,1990-04-01,Printemps,1990,11.7,8.9,9.8,16.4
BAIGNES-SAINTE-RADEGONDE,16.4,23.4,10.7,1990-05-01,Printemps,1990,11.7,8.9,9.8,16.4
BAIGNES-SAINTE-RADEGONDE,20.1,21.7,11.9,1990-06-01,Été,1990,11.7,8.9,9.8,16.4
BAIGNES-SAINTE-RADEGONDE,3.3,6.7,0.4,1990-12-01,Hiver,1990,11.7,8.9,9.8,16.4
BAIGNES-SAINTE-RADEGONDE,4.7,8.1,2.1,1991-01-01,Hiver,1991,11.15,6.275,10.600000000000001,15.149999999999999
BAIGNES-SAINTE-RADEGONDE,5.6,8.5,-1.0,1991-02-01,Hiver,1991,11.15,6.275,10.600000000000001,15.149999999999999
BAIGNES-SAINTE-RADEGONDE,9.9,15.5,4.4,1991-04-01,Printemps,1991,11.15,6.275,10.600000000000001,15.149999999999999
BAIGNES-SAINTE-RADEGONDE,13.5,19.0,8.1,1991-05-01,Printemps,1991,11.15,6.275,10.600000000000001,15.149999999999999
BAIGNES-SAINTE-RADEGONDE,15.7,21.2,10.8,1991-06-01,Été,1991,11.15,6.275,10.600000000000001,15.149999999999999
BAIGNES-SAINTE-RADEGONDE,19.8,26.2,13.8,1991-07-01,Été,1991,11.15,6.275,10.600000000000001,15.149999999999999
BAIGNES-SAINTE-RADEGONDE,18.1,25.5,13.8,1991-09-01,Automne,1991,11.15,6.275,10.600000000000001,15.149999999999999
BAIGNES-SAINTE-RADEGONDE,11.3,16.4,7.3,1991-10-01,Automne,1991,11.15,6.275,10.600000000000001,15.149999999999999
BAIGNES-SAINTE-RADEGONDE,8.3,11.9,5.4,1991-11-01,Automne,1991,11.15,6.275,10.600000000000001,15.149999999999999
BAIGNES-SAINTE-RADEGONDE,4.6,8.9,1.3,1991-12-01,Hiver,1991,11.15,6.275,10.600000000000001,15.149999999999999
BAIGNES-SAINTE-RADEGONDE,2.9,7.2,-0.8,1992-01-01,Hiver,1992,11.933333333333332,8.05,10.7,16.474999999999998
BAIGNES-SAINTE-RADEGONDE,5.3,11.2,0.7,1992-02-01,Hiver,1992,11.933333333333332,8.05,10.7,16.474999999999998
BAIGNES-SAINTE-RADEGONDE,8.5,13.5,3.8,1992-03-01,Printemps,1992,11.933333333333332,8.05,10.7,16.474999999999998
BAIGNES-SAINTE-RADEGONDE,10.2,15.9,4.5,1992-04-01,Printemps,1992,11.933333333333332,8.05,10.7,16.474999999999998
BAIGNES-SAINTE-RADEGONDE,16.4,23.0,9.9,1992-05-01,Printemps,1992,11.933333333333332,8.05,10.7,16.474999999999998
BAIGNES-SAINTE-RADEGONDE,16.7,22.0,12.2,1992-06-01,Été,1992,11.933333333333332,8.05,10.7,16.474999999999998
BAIGNES-SAINTE-RADEGONDE,19.7,26.0,13.5,1992-07-01,Été,1992,11.933333333333332,8.05,10.7,16.474999999999998
BAIGNES-SAINTE-RADEGONDE,19.9,25.9,14.4,1992-08-01,Été,1992,11.933333333333332,8.05,10.7,16.474999999999998
BAIGNES-SAINTE-RADEGONDE,15.5,21.5,10.4,1992-09-01,Automne,1992,11.933333333333332,8.05,10.7,16.474999999999998
BAIGNES-SAINTE-RADEGONDE,10.5,14.3,7.4,1992-10-01,Automne,1992,11.933333333333332,8.05,10.7,16.474999999999998
BAIGNES-SAINTE-RADEGONDE,10.9,14.5,7.7,1992-11-01,Automne,1992,11.933333333333332,8.05,10.7,16.474999999999998
BAIGNES-SAINTE-RADEGONDE,6.7,9.6,4.1,1992-12-01,Hiver,1992,11.933333333333332,8.05,10.7,16.474999999999998
BAIGNES-SAINTE-RADEGONDE,6.9,10.8,3.6,1993-01-01,Hiver,1993,10.0625,7.725,9.8,12.05
BAIGNES-SAINTE-RADEGONDE,5.0,11.1,-0.1,1993-02-01,Hiver,1993,10.0625,7.725,9.8,12.05
BAIGNES-SAINTE-RADEGONDE,8.8,14.9,3.0,1993-03-01,Printemps,1993,10.0625,7.725,9.8,12.05
BAIGNES-SAINTE-RADEGONDE,10.8,16.2,6.2,1993-04-01,Printemps,1993,10.0625,7.725,9.8,12.05
BAIGNES-SAINTE-RADEGONDE,15.0,20.7,10.2,1993-05-01,Printemps,1993,10.0625,7.725,9.8,12.05
BAIGNES-SAINTE-RADEGONDE,14.9,20.4,10.5,1993-09-01,Automne,1993,10.0625,7.725,9.8,12.05
BAIGNES-SAINTE-RADEGONDE,11.1,15.2,8.0,1993-10-01,Automne,1993,10.0625,7.725,9.8,12.05
BAIGNES-SAINTE-RADEGONDE,8.0,10.8,5.1,1993-12-01,Hiver,1993,10.0625,7.725,9.8,12.05
BAIGNES-SAINTE-RADEGONDE,18.1,23.9,11.7,1994-06-01,Été,1994,15.866666666666667,13.15,18.1,19.700000000000003
BAIGNES-SAINTE-RADEGONDE,21.3,27.9,14.9,1994-07-01,Été,1994,15.866666666666667,13.15,18.1,19.700000000000003
BAIGNES-SAINTE-RADEGONDE,8.2,10.7,6.2,1994-12-01,Hiver,1994,15.866666666666667,13.15,18.1,19.700000000000003
BAIGNES-SAINTE-RADEGONDE,8.7,12.7,5.5,1995-02-01,Hiver,1995,8.7,8.7,8.7,8.7
BAIGNES-SAINTE-RADEGONDE,4.5,8.4,1.2,1996-02-01,Hiver,1996,4.5,4.5,4.5,4.5
BAIGNES-SAINTE-RADEGONDE,8.6,13.2,4.8,1997-02-01,Hiver,1997,15.45,12.025,15.45,18.875
BAIGNES-SAINTE-RADEGONDE,22.3,28.4,16.9,1997-08-01,Été,1997,15.45,12.025,15.45,18.875
BAIGNES-SAINTE-RADEGONDE,5.6,9.0,2.6,1999-02-01,Hiver,1999,14.533333333333333,9.05,17.25,19.525
BAIGNES-SAINTE-RADEGONDE,17.0,22.6,12.5,1999-05-01,Printemps,1999,14.533333333333333,9.05,17.25,19.525
BAIGNES-SAINTE-RADEGONDE,17.5,23.0,11.9,1999-06-01,Été,1999,14.533333333333333,9.05,17.25,19.525
BAIGNES-SAINTE-RADEGONDE,20.5,26.8,14.7,1999-07-01,Été,1999,14.533333333333333,9.05,17.25,19.525
BAIGNES-SAINTE-RADEGONDE,20.2,26.4,14.6,1999-08-01,Été,1999,14.533333333333333,9.05,17.25,19.525
BAIGNES-SAINTE-RADEGONDE,6.4,10.2,3.3,1999-12-01,Hiver,1999,14.533333333333333,9.05,17.25,19.525
BAIGNES-SAINTE-RADEGONDE,4.4,8.9,1.3,2000-01-01,Hiver,2000,12.7375,9.225,12.15,16.825
BAIGNES-SAINTE-RADEGONDE,8.4,14.5,3.2,2000-03-01,Printemps,2000,12.7375,9.225,12.15,16.825
BAIGNES-SAINTE-RADEGONDE,11.3,16.4,7.3,2000-04-01,Printemps,2000,12.7375,9.225,12.15,16.825
BAIGNES-SAINTE-RADEGONDE,16.2,22.3,11.1,2000-05-01,Printemps,2000,12.7375,9.225,12.15,16.825
BAIGNES-SAINTE-RADEGONDE,18.7,24.7,13.2,2000-07-01,Été,2000,12.7375,9.225,12.15,16.825
BAIGNES-SAINTE-RADEGONDE,20.4,27.7,13.6,2000-08-01,Été,2000,12.7375,9.225,12.15,16.825
BAIGNES-SAINTE-RADEGONDE,13.0,17.2,9.4,2000-10-01,Automne,2000,12.7375,9.225,12.15,16.825
BAIGNES-SAINTE-RADEGONDE,9.5,12.7,7.0,2000-11-01,Automne,2000,12.7375,9.225,12.15,16.825
BAIGNES-SAINTE-RADEGONDE,6.5,10.6,3.1,2001-02-01,Hiver,2001,8.8,7.65,8.8,9.95
BAIGNES-SAINTE-RADEGONDE,11.1,14.9,7.8,2001-03-01,Printemps,2001,8.8,7.65,8.8,9.95
BAIGNES-SAINTE-RADEGONDE,7.1,11.2,3.6,2002-01-01,Hiver,2002,11.0,8.45,11.45,14.0
BAIGNES-SAINTE-RADEGONDE,14.0,19.8,8.8,2002-05-01,Printemps,2002,11.0,8.45,11.45,14.0
