Commune,Température moyenne mensuelle,Température maximale,Température minimale,Date,Saison,Année,Température moyenne annuelle,Centile_25%,Centile_50% (Médiane),Centile_75%
LE BREIL-SUR-MERIZE,7.8,10.4,5.6,2022-11-01,Automne,2022,6.449999999999999,5.7749999999999995,6.449999999999999,7.125
LE BREIL-SUR-MERIZE,5.1,7.6,3.0,2022-12-01,Hiver,2022,6.449999999999999,5.7749999999999995,6.449999999999999,7.125
LE BREIL-SUR-MERIZE,5.7,8.0,3.7,2023-01-01,Hiver,2023,13.041666666666666,8.475000000000001,12.5,19.35
LE BREIL-SUR-MERIZE,5.9,10.1,2.8,2023-02-01,Hiver,2023,13.041666666666666,8.475000000000001,12.5,19.35
LE BREIL-SUR-MERIZE,8.8,13.1,5.3,2023-03-01,Printemps,2023,13.041666666666666,8.475000000000001,12.5,19.35
LE BREIL-SUR-MERIZE,10.2,15.2,6.1,2023-04-01,Printemps,2023,13.041666666666666,8.475000000000001,12.5,19.35
LE BREIL-SUR-MERIZE,14.9,21.0,9.5,2023-05-01,Printemps,2023,13.041666666666666,8.475000000000001,12.5,19.35
LE BREIL-SUR-MERIZE,21.0,27.6,14.8,2023-06-01,Été,2023,13.041666666666666,8.475000000000001,12.5,19.35
LE BREIL-SUR-MERIZE,19.5,25.4,14.4,2023-07-01,Été,2023,13.041666666666666,8.475000000000001,12.5,19.35
LE BREIL-SUR-MERIZE,19.3,24.8,15.0,2023-08-01,Été,2023,13.041666666666666,8.475000000000001,12.5,19.35
LE BREIL-SUR-MERIZE,19.8,25.9,15.1,2023-09-01,Automne,2023,13.041666666666666,8.475000000000001,12.5,19.35
LE BREIL-SUR-MERIZE,14.8,19.8,10.8,2023-10-01,Automne,2023,13.041666666666666,8.475000000000001,12.5,19.35
LE BREIL-SUR-MERIZE,9.1,12.3,6.7,2023-11-01,Automne,2023,13.041666666666666,8.475000000000001,12.5,19.35
LE BREIL-SUR-MERIZE,7.5,9.9,5.5,2023-12-01,Hiver,2023,13.041666666666666,8.475000000000001,12.5,19.35
COMMERVEIL,5.7,10.0,2.8,2008-01-01,Hiver,2008,10.933333333333332,6.7,9.7,15.975
COMMERVEIL,6.4,10.9,2.7,2008-02-01,Hiver,2008,10.933333333333332,6.7,9.7,15.975
COMMERVEIL,6.8,10.6,3.6,2008-03-01,Printemps,2008,10.933333333333332,6.7,9.7,15.975
COMMERVEIL,9.1,14.1,4.9,2008-04-01,Printemps,2008,10.933333333333332,6.7,9.7,15.975
COMMERVEIL,15.7,21.4,10.5,2008-05-01,Printemps,2008,10.933333333333332,6.7,9.7,15.975
COMMERVEIL,16.8,22.3,11.6,2008-06-01,Été,2008,10.933333333333332,6.7,9.7,15.975
COMMERVEIL,17.8,24.0,12.0,2008-07-01,Été,2008,10.933333333333332,6.7,9.7,15.975
COMMERVEIL,17.4,22.5,12.9,2008-08-01,Été,2008,10.933333333333332,6.7,9.7,15.975
COMMERVEIL,13.9,19.4,9.6,2008-09-01,Automne,2008,10.933333333333332,6.7,9.7,15.975
COMMERVEIL,10.3,15.1,6.4,2008-10-01,Automne,2008,10.933333333333332,6.7,9.7,15.975
COMMERVEIL,7.8,10.8,5.4,2008-11-01,Automne,2008,10.933333333333332,6.7,9.7,15.975
COMMERVEIL,3.5,6.3,1.2,2008-12-01,Hiver,2008,10.933333333333332,6.7,9.7,15.975
COMMERVEIL,1.6,4.7,-1.0,2009-01-01,Hiver,2009,11.208333333333334,6.675,11.4,16.549999999999997
COMMERVEIL,4.2,8.0,1.2,2009-02-01,Hiver,2009,11.208333333333334,6.675,11.4,16.549999999999997
COMMERVEIL,7.5,12.4,2.9,2009-03-01,Printemps,2009,11.208333333333334,6.675,11.4,16.549999999999997
COMMERVEIL,10.9,16.0,6.6,2009-04-01,Printemps,2009,11.208333333333334,6.675,11.4,16.549999999999997
COMMERVEIL,14.1,19.6,8.8,2009-05-01,Printemps,2009,11.208333333333334,6.675,11.4,16.549999999999997
COMMERVEIL,17.0,22.4,11.6,2009-06-01,Été,2009,11.208333333333334,6.675,11.4,16.549999999999997
COMMERVEIL,18.2,24.5,12.4,2009-07-01,Été,2009,11.208333333333334,6.675,11.4,16.549999999999997
COMMERVEIL,19.3,26.2,13.1,2009-08-01,Été,2009,11.208333333333334,6.675,11.4,16.549999999999997
COMMERVEIL,16.4,22.6,11.6,2009-09-01,Automne,2009,11.208333333333334,6.675,11.4,16.549999999999997
COMMERVEIL,11.9,16.9,8.1,2009-10-01,Automne,2009,11.208333333333334,6.675,11.4,16.549999999999997
COMMERVEIL,9.7,12.4,7.1,2009-11-01,Automne,2009,11.208333333333334,6.675,11.4,16.549999999999997
COMMERVEIL,3.7,7.0,0.5,2009-12-01,Hiver,2009,11.208333333333334,6.675,11.4,16.549999999999997
COMMERVEIL,0.7,3.8,-1.8,2010-01-01,Hiver,2010,10.341666666666667,6.15,11.100000000000001,15.674999999999999
COMMERVEIL,3.9,7.3,1.3,2010-02-01,Hiver,2010,10.341666666666667,6.15,11.100000000000001,15.674999999999999
COMMERVEIL,6.9,11.6,3.1,2010-03-01,Printemps,2010,10.341666666666667,6.15,11.100000000000001,15.674999999999999
COMMERVEIL,10.8,16.9,5.1,2010-04-01,Printemps,2010,10.341666666666667,6.15,11.100000000000001,15.674999999999999
COMMERVEIL,12.4,17.6,7.3,2010-05-01,Printemps,2010,10.341666666666667,6.15,11.100000000000001,15.674999999999999
COMMERVEIL,17.4,23.0,12.1,2010-06-01,Été,2010,10.341666666666667,6.15,11.100000000000001,15.674999999999999
COMMERVEIL,20.1,26.6,13.5,2010-07-01,Été,2010,10.341666666666667,6.15,11.100000000000001,15.674999999999999
COMMERVEIL,17.4,23.3,12.2,2010-08-01,Été,2010,10.341666666666667,6.15,11.100000000000001,15.674999999999999
COMMERVEIL,15.1,21.6,9.6,2010-09-01,Automne,2010,10.341666666666667,6.15,11.100000000000001,15.674999999999999
COMMERVEIL,11.4,16.2,7.5,2010-10-01,Automne,2010,10.341666666666667,6.15,11.100000000000001,15.674999999999999
COMMERVEIL,7.0,9.4,4.3,2010-11-01,Automne,2010,10.341666666666667,6.15,11.100000000000001,15.674999999999999
COMMERVEIL,1.0,3.3,-1.2,2010-12-01,Hiver,2010,10.341666666666667,6.15,11.100000000000001,15.674999999999999
COMMERVEIL,4.6,7.4,2.3,2011-01-01,Hiver,2011,12.174999999999999,8.299999999999999,13.100000000000001,16.675
COMMERVEIL,6.3,10.1,3.6,2011-02-01,Hiver,2011,12.174999999999999,8.299999999999999,13.100000000000001,16.675
COMMERVEIL,8.7,13.8,4.4,2011-03-01,Printemps,2011,12.174999999999999,8.299999999999999,13.100000000000001,16.675
COMMERVEIL,13.4,19.8,7.4,2011-04-01,Printemps,2011,12.174999999999999,8.299999999999999,13.100000000000001,16.675
COMMERVEIL,14.7,21.4,8.2,2011-05-01,Printemps,2011,12.174999999999999,8.299999999999999,13.100000000000001,16.675
COMMERVEIL,16.6,22.3,11.4,2011-06-01,Été,2011,12.174999999999999,8.299999999999999,13.100000000000001,16.675
COMMERVEIL,17.0,22.6,11.8,2011-07-01,Été,2011,12.174999999999999,8.299999999999999,13.100000000000001,16.675
COMMERVEIL,18.0,23.4,13.4,2011-08-01,Été,2011,12.174999999999999,8.299999999999999,13.100000000000001,16.675
COMMERVEIL,16.9,22.3,12.4,2011-09-01,Automne,2011,12.174999999999999,8.299999999999999,13.100000000000001,16.675
COMMERVEIL,12.8,17.9,8.5,2011-10-01,Automne,2011,12.174999999999999,8.299999999999999,13.100000000000001,16.675
COMMERVEIL,10.0,14.0,7.1,2011-11-01,Automne,2011,12.174999999999999,8.299999999999999,13.100000000000001,16.675
COMMERVEIL,7.1,10.4,4.1,2011-12-01,Hiver,2011,12.174999999999999,8.299999999999999,13.100000000000001,16.675
COMMERVEIL,6.1,9.0,3.7,2012-01-01,Hiver,2012,11.091666666666667,7.075,10.899999999999999,15.05
COMMERVEIL,1.7,5.7,-1.8,2012-02-01,Hiver,2012,11.091666666666667,7.075,10.899999999999999,15.05
COMMERVEIL,9.7,15.2,5.0,2012-03-01,Printemps,2012,11.091666666666667,7.075,10.899999999999999,15.05
COMMERVEIL,8.4,13.4,4.1,2012-04-01,Printemps,2012,11.091666666666667,7.075,10.899999999999999,15.05
COMMERVEIL,14.3,19.6,9.3,2012-05-01,Printemps,2012,11.091666666666667,7.075,10.899999999999999,15.05
COMMERVEIL,16.1,20.6,12.1,2012-06-01,Été,2012,11.091666666666667,7.075,10.899999999999999,15.05
COMMERVEIL,17.3,22.7,12.4,2012-07-01,Été,2012,11.091666666666667,7.075,10.899999999999999,15.05
COMMERVEIL,19.0,25.1,13.4,2012-08-01,Été,2012,11.091666666666667,7.075,10.899999999999999,15.05
COMMERVEIL,14.7,20.7,9.7,2012-09-01,Automne,2012,11.091666666666667,7.075,10.899999999999999,15.05
COMMERVEIL,12.1,15.4,9.3,2012-10-01,Automne,2012,11.091666666666667,7.075,10.899999999999999,15.05
COMMERVEIL,7.3,10.3,4.9,2012-11-01,Automne,2012,11.091666666666667,7.075,10.899999999999999,15.05
COMMERVEIL,6.4,9.3,4.0,2012-12-01,Hiver,2012,11.091666666666667,7.075,10.899999999999999,15.05
COMMERVEIL,4.1,6.4,2.1,2013-01-01,Hiver,2013,10.891666666666666,5.225,10.3,15.975
COMMERVEIL,3.2,6.5,0.9,2013-02-01,Hiver,2013,10.891666666666666,5.225,10.3,15.975
COMMERVEIL,5.0,8.8,2.1,2013-03-01,Printemps,2013,10.891666666666666,5.225,10.3,15.975
COMMERVEIL,9.2,14.1,4.6,2013-04-01,Printemps,2013,10.891666666666666,5.225,10.3,15.975
COMMERVEIL,11.4,16.2,7.1,2013-05-01,Printemps,2013,10.891666666666666,5.225,10.3,15.975
COMMERVEIL,15.9,20.9,11.4,2013-06-01,Été,2013,10.891666666666666,5.225,10.3,15.975
COMMERVEIL,21.1,27.2,15.5,2013-07-01,Été,2013,10.891666666666666,5.225,10.3,15.975
COMMERVEIL,18.9,25.5,13.0,2013-08-01,Été,2013,10.891666666666666,5.225,10.3,15.975
COMMERVEIL,16.2,21.6,11.5,2013-09-01,Automne,2013,10.891666666666666,5.225,10.3,15.975
COMMERVEIL,13.3,17.5,10.0,2013-10-01,Automne,2013,10.891666666666666,5.225,10.3,15.975
COMMERVEIL,7.1,10.3,4.2,2013-11-01,Automne,2013,10.891666666666666,5.225,10.3,15.975
COMMERVEIL,5.3,8.9,2.1,2013-12-01,Hiver,2013,10.891666666666666,5.225,10.3,15.975
COMMERVEIL,6.8,9.4,4.6,2014-01-01,Hiver,2014,12.049999999999999,8.4,12.15,16.575
COMMERVEIL,6.9,10.5,4.0,2014-02-01,Hiver,2014,12.049999999999999,8.4,12.15,16.575
COMMERVEIL,8.9,14.7,4.0,2014-03-01,Printemps,2014,12.049999999999999,8.4,12.15,16.575
COMMERVEIL,11.3,16.7,6.8,2014-04-01,Printemps,2014,12.049999999999999,8.4,12.15,16.575
