Commune,Température moyenne mensuelle,Température maximale,Température minimale,Date,Saison,Année,Température moyenne annuelle,Centile_25%,Centile_50% (Médiane),Centile_75%
BAYEUX,15.7,19.8,12.4,2013-09-01,Automne,2013,11.325,8.225,11.1,14.2
BAYEUX,13.7,17.4,10.8,2013-10-01,Automne,2013,11.325,8.225,11.1,14.2
BAYEUX,8.5,10.9,6.1,2013-11-01,Automne,2013,11.325,8.225,11.1,14.2
BAYEUX,7.4,10.7,4.4,2013-12-01,Hiver,2013,11.325,8.225,11.1,14.2
BAYEUX,7.5,10.6,4.8,2014-01-01,Hiver,2014,12.191666666666668,8.424999999999999,11.850000000000001,16.225
BAYEUX,7.6,11.1,5.0,2014-02-01,Hiver,2014,12.191666666666668,8.424999999999999,11.850000000000001,16.225
BAYEUX,8.7,13.4,4.7,2014-03-01,Printemps,2014,12.191666666666668,8.424999999999999,11.850000000000001,16.225
BAYEUX,10.9,15.4,7.2,2014-04-01,Printemps,2014,12.191666666666668,8.424999999999999,11.850000000000001,16.225
BAYEUX,12.8,16.7,9.4,2014-05-01,Printemps,2014,12.191666666666668,8.424999999999999,11.850000000000001,16.225
BAYEUX,16.2,20.3,12.0,2014-06-01,Été,2014,12.191666666666668,8.424999999999999,11.850000000000001,16.225
BAYEUX,18.2,22.8,14.5,2014-07-01,Été,2014,12.191666666666668,8.424999999999999,11.850000000000001,16.225
BAYEUX,16.3,20.7,12.8,2014-08-01,Été,2014,12.191666666666668,8.424999999999999,11.850000000000001,16.225
BAYEUX,16.8,21.4,12.6,2014-09-01,Automne,2014,12.191666666666668,8.424999999999999,11.850000000000001,16.225
BAYEUX,14.2,18.4,11.0,2014-10-01,Automne,2014,12.191666666666668,8.424999999999999,11.850000000000001,16.225
BAYEUX,10.2,13.3,8.0,2014-11-01,Automne,2014,12.191666666666668,8.424999999999999,11.850000000000001,16.225
BAYEUX,6.9,9.5,4.4,2014-12-01,Hiver,2014,12.191666666666668,8.424999999999999,11.850000000000001,16.225
BAYEUX,6.1,9.0,3.2,2015-01-01,Hiver,2015,11.791666666666666,9.775,11.95,14.5
BAYEUX,4.9,8.1,1.9,2015-02-01,Hiver,2015,11.791666666666666,9.775,11.95,14.5
BAYEUX,7.6,11.4,4.5,2015-03-01,Printemps,2015,11.791666666666666,9.775,11.95,14.5
BAYEUX,10.5,15.6,6.3,2015-04-01,Printemps,2015,11.791666666666666,9.775,11.95,14.5
BAYEUX,12.5,17.1,9.0,2015-05-01,Printemps,2015,11.791666666666666,9.775,11.95,14.5
BAYEUX,15.7,20.2,11.5,2015-06-01,Été,2015,11.791666666666666,9.775,11.95,14.5
BAYEUX,17.6,22.4,13.7,2015-07-01,Été,2015,11.791666666666666,9.775,11.95,14.5
BAYEUX,17.6,22.4,13.5,2015-08-01,Été,2015,11.791666666666666,9.775,11.95,14.5
BAYEUX,14.1,18.2,10.3,2015-09-01,Automne,2015,11.791666666666666,9.775,11.95,14.5
BAYEUX,12.2,15.9,9.1,2015-10-01,Automne,2015,11.791666666666666,9.775,11.95,14.5
BAYEUX,11.7,14.6,8.9,2015-11-01,Automne,2015,11.791666666666666,9.775,11.95,14.5
BAYEUX,11.0,13.5,8.9,2015-12-01,Hiver,2015,11.791666666666666,9.775,11.95,14.5
BAYEUX,6.7,9.7,4.0,2016-01-01,Hiver,2016,11.366666666666667,6.675,9.95,15.975
BAYEUX,6.6,9.5,4.0,2016-02-01,Hiver,2016,11.366666666666667,6.675,9.95,15.975
BAYEUX,6.6,9.9,3.6,2016-03-01,Printemps,2016,11.366666666666667,6.675,9.95,15.975
BAYEUX,8.6,13.4,4.7,2016-04-01,Printemps,2016,11.366666666666667,6.675,9.95,15.975
BAYEUX,13.3,17.5,9.6,2016-05-01,Printemps,2016,11.366666666666667,6.675,9.95,15.975
BAYEUX,15.5,19.2,12.6,2016-06-01,Été,2016,11.366666666666667,6.675,9.95,15.975
BAYEUX,17.6,22.1,13.5,2016-07-01,Été,2016,11.366666666666667,6.675,9.95,15.975
BAYEUX,18.2,23.3,13.9,2016-08-01,Été,2016,11.366666666666667,6.675,9.95,15.975
BAYEUX,17.4,22.2,13.8,2016-09-01,Automne,2016,11.366666666666667,6.675,9.95,15.975
BAYEUX,11.3,15.3,7.8,2016-10-01,Automne,2016,11.366666666666667,6.675,9.95,15.975
BAYEUX,8.4,11.3,5.8,2016-11-01,Automne,2016,11.366666666666667,6.675,9.95,15.975
BAYEUX,6.2,10.2,3.0,2016-12-01,Hiver,2016,11.366666666666667,6.675,9.95,15.975
BAYEUX,4.0,7.5,0.9,2017-01-01,Hiver,2017,11.875,8.6,11.9,15.275
BAYEUX,7.1,10.7,4.5,2017-02-01,Hiver,2017,11.875,8.6,11.9,15.275
BAYEUX,10.0,13.7,7.1,2017-03-01,Printemps,2017,11.875,8.6,11.9,15.275
BAYEUX,9.4,14.4,4.7,2017-04-01,Printemps,2017,11.875,8.6,11.9,15.275
BAYEUX,14.3,18.8,10.6,2017-05-01,Printemps,2017,11.875,8.6,11.9,15.275
BAYEUX,17.7,22.6,13.0,2017-06-01,Été,2017,11.875,8.6,11.9,15.275
BAYEUX,18.2,22.6,14.2,2017-07-01,Été,2017,11.875,8.6,11.9,15.275
BAYEUX,17.3,22.3,13.4,2017-08-01,Été,2017,11.875,8.6,11.9,15.275
BAYEUX,14.6,19.1,11.3,2017-09-01,Automne,2017,11.875,8.6,11.9,15.275
BAYEUX,13.8,17.6,10.9,2017-10-01,Automne,2017,11.875,8.6,11.9,15.275
BAYEUX,9.1,12.2,5.8,2017-11-01,Automne,2017,11.875,8.6,11.9,15.275
BAYEUX,7.0,9.6,4.5,2017-12-01,Hiver,2017,11.875,8.6,11.9,15.275
BAYEUX,7.9,10.4,5.5,2018-01-01,Hiver,2018,11.708333333333334,8.125,12.35,15.7
BAYEUX,3.9,6.8,1.1,2018-02-01,Hiver,2018,11.708333333333334,8.125,12.35,15.7
BAYEUX,6.9,10.8,4.1,2018-03-01,Printemps,2018,11.708333333333334,8.125,12.35,15.7
BAYEUX,11.7,16.3,7.9,2018-04-01,Printemps,2018,11.708333333333334,8.125,12.35,15.7
BAYEUX,13.4,18.0,9.1,2018-05-01,Printemps,2018,11.708333333333334,8.125,12.35,15.7
BAYEUX,16.0,19.7,12.8,2018-06-01,Été,2018,11.708333333333334,8.125,12.35,15.7
BAYEUX,19.1,24.4,14.6,2018-07-01,Été,2018,11.708333333333334,8.125,12.35,15.7
BAYEUX,16.2,23.4,13.2,2018-08-01,Été,2018,11.708333333333334,8.125,12.35,15.7
BAYEUX,15.6,21.0,10.9,2018-09-01,Automne,2018,11.708333333333334,8.125,12.35,15.7
BAYEUX,13.0,17.4,9.2,2018-10-01,Automne,2018,11.708333333333334,8.125,12.35,15.7
BAYEUX,8.6,12.3,5.8,2018-11-01,Automne,2018,11.708333333333334,8.125,12.35,15.7
BAYEUX,8.2,10.7,5.9,2018-12-01,Hiver,2018,11.708333333333334,8.125,12.35,15.7
BAYEUX,5.6,7.8,3.6,2019-01-01,Hiver,2019,12.525,8.875,11.45,17.1
BAYEUX,7.6,12.9,3.5,2019-02-01,Hiver,2019,12.525,8.875,11.45,17.1
BAYEUX,9.0,12.8,5.7,2019-03-01,Printemps,2019,12.525,8.875,11.45,17.1
