Commune,Température moyenne mensuelle,Température maximale,Température minimale,Date,Saison,Année,Température moyenne annuelle,Centile_25%,Centile_50% (Médiane),Centile_75%
ALGOLSHEIM,20.2,23.1,12.9,1987-09-01,Automne,1987,20.2,20.2,20.2,20.2
ALGOLSHEIM,2.1,8.1,2.2,1988-03-01,Printemps,1988,10.6,7.425,10.3,13.475
ALGOLSHEIM,9.2,15.3,4.8,1988-04-01,Printemps,1988,10.6,7.425,10.3,13.475
ALGOLSHEIM,19.7,20.1,10.8,1988-05-01,Printemps,1988,10.6,7.425,10.3,13.475
ALGOLSHEIM,11.4,14.2,8.2,1988-10-01,Automne,1988,10.6,7.425,10.3,13.475
ALGOLSHEIM,3.8,7.3,2.7,1990-11-01,Automne,1990,3.8,3.8,3.8,3.8
ALGOLSHEIM,4.3,8.4,0.4,1993-01-01,Hiver,1993,11.34,5.949999999999999,12.7,16.825
ALGOLSHEIM,11.8,17.9,6.0,1993-04-01,Printemps,1993,11.34,5.949999999999999,12.7,16.825
ALGOLSHEIM,15.1,20.9,9.9,1993-05-01,Printemps,1993,11.34,5.949999999999999,12.7,16.825
ALGOLSHEIM,17.4,23.5,12.2,1993-06-01,Été,1993,11.34,5.949999999999999,12.7,16.825
ALGOLSHEIM,18.2,24.2,13.1,1993-07-01,Été,1993,11.34,5.949999999999999,12.7,16.825
ALGOLSHEIM,18.2,24.7,12.2,1993-08-01,Été,1993,11.34,5.949999999999999,12.7,16.825
ALGOLSHEIM,13.6,18.8,9.5,1993-09-01,Automne,1993,11.34,5.949999999999999,12.7,16.825
ALGOLSHEIM,8.5,11.8,6.0,1993-10-01,Automne,1993,11.34,5.949999999999999,12.7,16.825
ALGOLSHEIM,1.2,3.8,-0.9,1993-11-01,Automne,1993,11.34,5.949999999999999,12.7,16.825
ALGOLSHEIM,5.1,8.1,2.2,1993-12-01,Hiver,1993,11.34,5.949999999999999,12.7,16.825
ALGOLSHEIM,3.3,6.3,0.8,1994-01-01,Hiver,1994,12.871428571428572,9.05,14.0,16.2
ALGOLSHEIM,9.7,14.5,5.7,1994-03-01,Printemps,1994,12.871428571428572,9.05,14.0,16.2
ALGOLSHEIM,8.4,13.4,4.1,1994-04-01,Printemps,1994,12.871428571428572,9.05,14.0,16.2
ALGOLSHEIM,14.0,19.5,9.5,1994-05-01,Printemps,1994,12.871428571428572,9.05,14.0,16.2
ALGOLSHEIM,17.8,24.1,12.1,1994-06-01,Été,1994,12.871428571428572,9.05,14.0,16.2
ALGOLSHEIM,22.3,29.7,15.8,1994-07-01,Été,1994,12.871428571428572,9.05,14.0,16.2
ALGOLSHEIM,14.6,19.6,10.9,1994-09-01,Automne,1994,12.871428571428572,9.05,14.0,16.2
ALGOLSHEIM,2.0,5.3,-0.8,1995-01-01,Hiver,1995,11.3625,5.6,12.3,16.875
ALGOLSHEIM,6.8,11.0,3.5,1995-02-01,Hiver,1995,11.3625,5.6,12.3,16.875
ALGOLSHEIM,10.3,15.0,6.0,1995-04-01,Printemps,1995,11.3625,5.6,12.3,16.875
ALGOLSHEIM,14.3,19.9,9.1,1995-05-01,Printemps,1995,11.3625,5.6,12.3,16.875
ALGOLSHEIM,16.1,21.1,11.7,1995-06-01,Été,1995,11.3625,5.6,12.3,16.875
ALGOLSHEIM,21.7,28.4,15.9,1995-07-01,Été,1995,11.3625,5.6,12.3,16.875
ALGOLSHEIM,19.2,25.1,14.1,1995-08-01,Été,1995,11.3625,5.6,12.3,16.875
ALGOLSHEIM,0.5,3.0,-1.5,1995-12-01,Hiver,1995,11.3625,5.6,12.3,16.875
ALGOLSHEIM,-0.2,1.9,-1.7,1996-01-01,Hiver,1996,8.775,3.05,8.4,14.125
ALGOLSHEIM,0.5,4.9,-2.8,1996-02-01,Hiver,1996,8.775,3.05,8.4,14.125
ALGOLSHEIM,3.9,9.8,-1.2,1996-03-01,Printemps,1996,8.775,3.05,8.4,14.125
ALGOLSHEIM,12.8,17.5,8.8,1996-05-01,Printemps,1996,8.775,3.05,8.4,14.125
ALGOLSHEIM,18.3,24.0,12.9,1996-06-01,Été,1996,8.775,3.05,8.4,14.125
ALGOLSHEIM,18.1,24.1,12.5,1996-07-01,Été,1996,8.775,3.05,8.4,14.125
ALGOLSHEIM,11.9,17.7,7.2,1996-09-01,Automne,1996,8.775,3.05,8.4,14.125
ALGOLSHEIM,4.9,8.1,2.1,1996-11-01,Automne,1996,8.775,3.05,8.4,14.125
ALGOLSHEIM,20.4,27.1,14.7,1997-08-01,Été,1997,20.4,20.4,20.4,20.4
ALTKIRCH,0.9,3.6,-1.5,1987-02-01,Hiver,1987,9.077777777777778,2.8,10.0,14.7
ALTKIRCH,2.1,5.9,-1.1,1987-03-01,Printemps,1987,9.077777777777778,2.8,10.0,14.7
ALTKIRCH,10.0,14.6,5.7,1987-05-01,Printemps,1987,9.077777777777778,2.8,10.0,14.7
ALTKIRCH,14.7,18.8,11.0,1987-06-01,Été,1987,9.077777777777778,2.8,10.0,14.7
ALTKIRCH,18.2,22.9,14.2,1987-07-01,Été,1987,9.077777777777778,2.8,10.0,14.7
ALTKIRCH,17.5,22.6,13.1,1987-08-01,Été,1987,9.077777777777778,2.8,10.0,14.7
ALTKIRCH,10.4,14.2,7.6,1987-10-01,Automne,1987,9.077777777777778,2.8,10.0,14.7
ALTKIRCH,5.1,8.3,2.9,1987-11-01,Automne,1987,9.077777777777778,2.8,10.0,14.7
ALTKIRCH,2.8,4.7,-0.2,1987-12-01,Hiver,1987,9.077777777777778,2.8,10.0,14.7
ALTKIRCH,4.3,7.3,2.0,1988-01-01,Hiver,1988,7.6,4.2,4.3,9.1
ALTKIRCH,4.2,7.1,1.7,1988-03-01,Printemps,1988,7.6,4.2,4.3,9.1
ALTKIRCH,9.1,14.2,4.3,1988-04-01,Printemps,1988,7.6,4.2,4.3,9.1
ALTKIRCH,17.6,23.6,12.3,1988-07-01,Été,1988,7.6,4.2,4.3,9.1
ALTKIRCH,2.8,6.8,-0.4,1988-11-01,Automne,1988,7.6,4.2,4.3,9.1
ALTKIRCH,1.0,4.5,-1.5,1989-01-01,Hiver,1989,8.475,1.9,5.05,16.05
ALTKIRCH,2.8,6.9,-0.3,1989-02-01,Hiver,1989,8.475,1.9,5.05,16.05
ALTKIRCH,7.3,11.1,4.0,1989-04-01,Printemps,1989,8.475,1.9,5.05,16.05
ALTKIRCH,15.5,21.6,9.8,1989-06-01,Été,1989,8.475,1.9,5.05,16.05
ALTKIRCH,19.9,24.2,13.1,1989-07-01,Été,1989,8.475,1.9,5.05,16.05
ALTKIRCH,17.7,24.0,12.3,1989-08-01,Été,1989,8.475,1.9,5.05,16.05
ALTKIRCH,2.0,6.5,-1.1,1989-11-01,Automne,1989,8.475,1.9,5.05,16.05
ALTKIRCH,1.6,5.3,-1.4,1989-12-01,Hiver,1989,8.475,1.9,5.05,16.05
ALTKIRCH,1.2,5.1,-1.7,1990-01-01,Hiver,1990,8.257142857142856,5.65,7.4,11.3
ALTKIRCH,7.0,12.2,2.5,1990-02-01,Hiver,1990,8.257142857142856,5.65,7.4,11.3
ALTKIRCH,7.6,12.8,3.1,1990-03-01,Printemps,1990,8.257142857142856,5.65,7.4,11.3
ALTKIRCH,7.4,11.7,3.5,1990-04-01,Printemps,1990,8.257142857142856,5.65,7.4,11.3
ALTKIRCH,15.0,21.4,9.2,1990-05-01,Printemps,1990,8.257142857142856,5.65,7.4,11.3
