Commune,Température moyenne mensuelle,Température maximale,Température minimale,Date,Saison,Année,Température moyenne annuelle,Centile_25%,Centile_50% (Médiane),Centile_75%
BELEP,26.1,28.1,24.6,2020-01-01,Hiver,2020,26.1,26.1,26.1,26.1
BOULOUPARIS,20.8,27.5,12.1,2019-10-01,Automne,2019,23.426666666666666,21.1,23.0,25.55
BOULOUPARIS,23.0,30.1,15.3,2019-11-01,Automne,2019,23.426666666666666,21.1,23.0,25.55
BOULOUPARIS,25.5,31.7,19.3,2019-12-01,Hiver,2019,23.426666666666666,21.1,23.0,25.55
BOULOUPARIS,26.4,32.4,20.4,2020-01-01,Hiver,2020,23.545833333333334,21.2,23.9,25.825
BOULOUPARIS,27.8,33.6,22.9,2020-02-01,Hiver,2020,23.545833333333334,21.2,23.9,25.825
BOULOUPARIS,25.7,31.3,21.0,2020-03-01,Printemps,2020,23.545833333333334,21.2,23.9,25.825
BOULOUPARIS,23.8,29.8,18.3,2020-04-01,Printemps,2020,23.545833333333334,21.2,23.9,25.825
BOULOUPARIS,21.3,26.5,17.0,2020-05-01,Printemps,2020,23.545833333333334,21.2,23.9,25.825
BOULOUPARIS,19.8,26.3,14.4,2020-06-01,Été,2020,23.545833333333334,21.2,23.9,25.825
BOULOUPARIS,19.1,25.8,13.1,2020-07-01,Été,2020,23.545833333333334,21.2,23.9,25.825
BOULOUPARIS,19.8,25.6,14.7,2020-08-01,Été,2020,23.545833333333334,21.2,23.9,25.825
BOULOUPARIS,20.4,26.8,14.3,2020-09-01,Automne,2020,23.545833333333334,21.2,23.9,25.825
BOULOUPARIS,23.4,29.4,17.2,2020-10-01,Automne,2020,23.545833333333334,21.2,23.9,25.825
BOULOUPARIS,24.2,30.3,18.3,2020-11-01,Automne,2020,23.545833333333334,21.2,23.9,25.825
BOULOUPARIS,25.7,31.1,20.6,2020-12-01,Hiver,2020,23.545833333333334,21.2,23.9,25.825
BOULOUPARIS,26.1,31.1,22.7,2021-01-01,Hiver,2021,23.195833333333336,20.975,23.700000000000003,25.825
BOULOUPARIS,25.9,31.0,22.2,2021-02-01,Hiver,2021,23.195833333333336,20.975,23.700000000000003,25.825
BOULOUPARIS,25.0,30.5,20.3,2021-03-01,Printemps,2021,23.195833333333336,20.975,23.700000000000003,25.825
BOULOUPARIS,23.8,28.5,20.5,2021-04-01,Printemps,2021,23.195833333333336,20.975,23.700000000000003,25.825
BOULOUPARIS,21.5,27.4,17.3,2021-05-01,Printemps,2021,23.195833333333336,20.975,23.700000000000003,25.825
BOULOUPARIS,19.7,25.9,14.8,2021-06-01,Été,2021,23.195833333333336,20.975,23.700000000000003,25.825
BOULOUPARIS,19.2,25.7,14.0,2021-07-01,Été,2021,23.195833333333336,20.975,23.700000000000003,25.825
BOULOUPARIS,19.1,26.2,12.8,2021-08-01,Été,2021,23.195833333333336,20.975,23.700000000000003,25.825
BOULOUPARIS,20.0,27.1,13.1,2021-09-01,Automne,2021,23.195833333333336,20.975,23.700000000000003,25.825
