Commune,Température moyenne mensuelle,Température maximale,Température minimale,Date,Saison,Année,Température moyenne annuelle,Centile_25%,Centile_50% (Médiane),Centile_75%
AMBERT,17.7,25.5,10.1,1993-08-01,Été,1993,12.933333333333332,10.55,12.5,15.1
AMBERT,12.5,18.9,7.2,1993-09-01,Automne,1993,12.933333333333332,10.55,12.5,15.1
AMBERT,8.6,14.2,4.4,1993-10-01,Automne,1993,12.933333333333332,10.55,12.5,15.1
AMBERT,1.7,5.7,-1.5,1994-01-01,Hiver,1994,6.033333333333334,3.925,6.8,7.574999999999999
AMBERT,3.2,7.5,0.0,1994-02-01,Hiver,1994,6.033333333333334,3.925,6.8,7.574999999999999
AMBERT,7.6,14.5,2.0,1994-03-01,Printemps,1994,6.033333333333334,3.925,6.8,7.574999999999999
AMBERT,6.1,10.9,2.0,1994-04-01,Printemps,1994,6.033333333333334,3.925,6.8,7.574999999999999
AMBERT,10.1,16.9,5.3,1994-10-01,Automne,1994,6.033333333333334,3.925,6.8,7.574999999999999
AMBERT,7.5,12.8,4.0,1994-11-01,Automne,1994,6.033333333333334,3.925,6.8,7.574999999999999
AMBERT,19.3,27.1,12.3,1995-07-01,Été,1995,19.3,19.3,19.3,19.3
AMBERT,5.3,10.4,1.3,1996-01-01,Hiver,1996,8.15,4.1,7.85,11.9
AMBERT,0.5,4.0,-1.9,1996-02-01,Hiver,1996,8.15,4.1,7.85,11.9
AMBERT,16.4,23.7,9.6,1996-07-01,Été,1996,8.15,4.1,7.85,11.9
AMBERT,10.4,18.3,3.6,1996-09-01,Automne,1996,8.15,4.1,7.85,11.9
AMBERT,2.3,7.9,-1.8,1998-01-01,Hiver,1998,2.9333333333333336,1.7,2.3,3.85
AMBERT,5.4,12.0,-0.2,1998-03-01,Printemps,1998,2.9333333333333336,1.7,2.3,3.85
AMBERT,1.1,6.2,-2.3,1998-12-01,Hiver,1998,2.9333333333333336,1.7,2.3,3.85
AMBERT,16.7,23.7,9.4,2000-06-01,Été,2000,10.85,7.925,10.85,13.774999999999999
AMBERT,5.0,9.7,1.3,2000-12-01,Hiver,2000,10.85,7.925,10.85,13.774999999999999
