Commune,Température moyenne mensuelle,Température maximale,Température minimale,Date,Saison,Année,Température moyenne annuelle,Centile_25%,Centile_50% (Médiane),Centile_75%
AIGUILLON,19.3,27.4,15.1,2021-07-01,Été,2021,14.4,8.875,16.15,19.3
AIGUILLON,20.2,27.4,14.1,2021-08-01,Été,2021,14.4,8.875,16.15,19.3
AIGUILLON,19.3,26.4,14.1,2021-09-01,Automne,2021,14.4,8.875,16.15,19.3
AIGUILLON,13.0,20.8,7.4,2021-10-01,Automne,2021,14.4,8.875,16.15,19.3
AIGUILLON,7.5,12.2,4.4,2021-11-01,Automne,2021,14.4,8.875,16.15,19.3
AIGUILLON,7.1,12.2,3.6,2021-12-01,Hiver,2021,14.4,8.875,16.15,19.3
AIGUILLON,3.4,8.3,0.4,2022-01-01,Hiver,2022,15.008333333333333,10.225000000000001,15.5,19.525
AIGUILLON,8.5,14.7,3.8,2022-02-01,Hiver,2022,15.008333333333333,10.225000000000001,15.5,19.525
AIGUILLON,10.8,16.7,5.6,2022-03-01,Printemps,2022,15.008333333333333,10.225000000000001,15.5,19.525
AIGUILLON,12.3,18.8,7.2,2022-04-01,Printemps,2022,15.008333333333333,10.225000000000001,15.5,19.525
AIGUILLON,18.8,26.6,11.7,2022-05-01,Printemps,2022,15.008333333333333,10.225000000000001,15.5,19.525
AIGUILLON,21.4,28.6,15.5,2022-06-01,Été,2022,15.008333333333333,10.225000000000001,15.5,19.525
AIGUILLON,23.8,33.1,14.4,2022-07-01,Été,2022,15.008333333333333,10.225000000000001,15.5,19.525
AIGUILLON,24.2,33.1,16.8,2022-08-01,Été,2022,15.008333333333333,10.225000000000001,15.5,19.525
AIGUILLON,18.9,27.3,12.7,2022-09-01,Automne,2022,15.008333333333333,10.225000000000001,15.5,19.525
AIGUILLON,18.7,25.6,13.1,2022-10-01,Automne,2022,15.008333333333333,10.225000000000001,15.5,19.525
AIGUILLON,11.2,16.6,7.6,2022-11-01,Automne,2022,15.008333333333333,10.225000000000001,15.5,19.525
AIGUILLON,8.1,12.8,4.5,2022-12-01,Hiver,2022,15.008333333333333,10.225000000000001,15.5,19.525
AIGUILLON,6.2,9.8,3.4,2023-01-01,Hiver,2023,14.633333333333333,10.15,14.8,21.35
AIGUILLON,5.2,13.8,-0.6,2023-02-01,Hiver,2023,14.633333333333333,10.15,14.8,21.35
AIGUILLON,11.2,17.3,6.2,2023-03-01,Printemps,2023,14.633333333333333,10.15,14.8,21.35
AIGUILLON,12.9,20.0,7.0,2023-04-01,Printemps,2023,14.633333333333333,10.15,14.8,21.35
AIGUILLON,16.7,24.2,10.4,2023-05-01,Printemps,2023,14.633333333333333,10.15,14.8,21.35
AIGUILLON,21.5,28.4,15.6,2023-06-01,Été,2023,14.633333333333333,10.15,14.8,21.35
