Commune,Température moyenne mensuelle,Température maximale,Température minimale,Date,Saison,Année,Température moyenne annuelle,Centile_25%,Centile_50% (Médiane),Centile_75%
PARIS 4E ARRONDISSEMENT,13.4,17.1,10.6,1987-10-01,Automne,1987,9.133333333333333,7.0,8.2,10.8
PARIS 4E ARRONDISSEMENT,8.2,10.5,6.2,1987-11-01,Automne,1987,9.133333333333333,7.0,8.2,10.8
PARIS 4E ARRONDISSEMENT,5.8,7.7,3.6,1987-12-01,Hiver,1987,9.133333333333333,7.0,8.2,10.8
PARIS 4E ARRONDISSEMENT,16.2,20.7,12.5,1988-05-01,Printemps,1988,18.5,17.35,18.5,19.65
PARIS 4E ARRONDISSEMENT,20.8,26.1,16.2,1988-08-01,Été,1988,18.5,17.35,18.5,19.65
PARIS 4E ARRONDISSEMENT,19.0,24.6,14.4,1989-06-01,Été,1989,20.2,18.75,20.4,21.85
PARIS 4E ARRONDISSEMENT,22.0,28.2,17.2,1989-07-01,Été,1989,20.2,18.75,20.4,21.85
PARIS 4E ARRONDISSEMENT,21.8,27.1,16.8,1989-08-01,Été,1989,20.2,18.75,20.4,21.85
PARIS 4E ARRONDISSEMENT,18.0,23.4,14.4,1989-09-01,Automne,1989,20.2,18.75,20.4,21.85
PARIS 4E ARRONDISSEMENT,10.5,14.1,7.5,1990-02-01,Hiver,1990,10.5,10.5,10.5,10.5
PARIS 4E ARRONDISSEMENT,2.9,6.3,0.3,1991-02-01,Hiver,1991,15.86,12.7,19.5,21.6
PARIS 4E ARRONDISSEMENT,21.6,26.9,17.1,1991-07-01,Été,1991,15.86,12.7,19.5,21.6
PARIS 4E ARRONDISSEMENT,22.6,28.9,17.4,1991-08-01,Été,1991,15.86,12.7,19.5,21.6
PARIS 4E ARRONDISSEMENT,19.5,24.5,15.4,1991-09-01,Automne,1991,15.86,12.7,19.5,21.6
PARIS 4E ARRONDISSEMENT,12.7,16.3,9.9,1991-10-01,Automne,1991,15.86,12.7,19.5,21.6
PARIS 4E ARRONDISSEMENT,7.0,10.4,4.2,1992-02-01,Hiver,1992,12.78,10.1,11.7,17.0
PARIS 4E ARRONDISSEMENT,10.1,13.4,7.3,1992-03-01,Printemps,1992,12.78,10.1,11.7,17.0
PARIS 4E ARRONDISSEMENT,11.7,16.0,7.9,1992-04-01,Printemps,1992,12.78,10.1,11.7,17.0
PARIS 4E ARRONDISSEMENT,18.1,24.1,13.0,1992-05-01,Printemps,1992,12.78,10.1,11.7,17.0
PARIS 4E ARRONDISSEMENT,17.0,21.2,13.6,1992-09-01,Automne,1992,12.78,10.1,11.7,17.0
PARIS 4E ARRONDISSEMENT,17.6,21.1,12.9,1993-05-01,Printemps,1993,14.12,8.0,17.6,19.9
PARIS 4E ARRONDISSEMENT,20.0,25.1,15.4,1993-06-01,Été,1993,14.12,8.0,17.6,19.9
PARIS 4E ARRONDISSEMENT,19.9,24.7,15.7,1993-07-01,Été,1993,14.12,8.0,17.6,19.9
PARIS 4E ARRONDISSEMENT,5.1,7.4,3.3,1993-11-01,Automne,1993,14.12,8.0,17.6,19.9
PARIS 4E ARRONDISSEMENT,8.0,9.8,6.2,1993-12-01,Hiver,1993,14.12,8.0,17.6,19.9
PARIS 4E ARRONDISSEMENT,16.3,21.2,12.0,1994-05-01,Printemps,1994,16.166666666666668,13.375,16.15,19.0
PARIS 4E ARRONDISSEMENT,19.9,25.0,14.9,1994-06-01,Été,1994,16.166666666666668,13.375,16.15,19.0
PARIS 4E ARRONDISSEMENT,24.3,29.9,19.5,1994-07-01,Été,1994,16.166666666666668,13.375,16.15,19.0
PARIS 4E ARRONDISSEMENT,16.0,19.6,13.4,1994-09-01,Automne,1994,16.166666666666668,13.375,16.15,19.0
PARIS 4E ARRONDISSEMENT,12.5,14.3,11.0,1994-11-01,Automne,1994,16.166666666666668,13.375,16.15,19.0
PARIS 4E ARRONDISSEMENT,8.0,10.1,6.1,1994-12-01,Hiver,1994,16.166666666666668,13.375,16.15,19.0
PARIS 4E ARRONDISSEMENT,16.7,22.2,12.1,1995-05-01,Printemps,1995,16.1625,14.525,16.5,19.8
PARIS 4E ARRONDISSEMENT,18.6,24.2,13.8,1995-06-01,Été,1995,16.1625,14.525,16.5,19.8
PARIS 4E ARRONDISSEMENT,24.2,30.1,18.8,1995-07-01,Été,1995,16.1625,14.525,16.5,19.8
PARIS 4E ARRONDISSEMENT,23.4,29.2,18.6,1995-08-01,Été,1995,16.1625,14.525,16.5,19.8
PARIS 4E ARRONDISSEMENT,16.3,20.6,13.1,1995-09-01,Automne,1995,16.1625,14.525,16.5,19.8
PARIS 4E ARRONDISSEMENT,16.3,20.1,13.2,1995-10-01,Automne,1995,16.1625,14.525,16.5,19.8
PARIS 4E ARRONDISSEMENT,9.2,12.0,6.9,1995-11-01,Automne,1995,16.1625,14.525,16.5,19.8
PARIS 4E ARRONDISSEMENT,4.6,6.5,3.0,1995-12-01,Hiver,1995,16.1625,14.525,16.5,19.8
PARIS 4E ARRONDISSEMENT,5.5,7.4,3.7,1996-01-01,Hiver,1996,12.237499999999999,7.449999999999999,13.15,15.174999999999999
PARIS 4E ARRONDISSEMENT,4.1,6.4,2.1,1996-02-01,Hiver,1996,12.237499999999999,7.449999999999999,13.15,15.174999999999999
PARIS 4E ARRONDISSEMENT,8.1,12.0,5.0,1996-03-01,Printemps,1996,12.237499999999999,7.449999999999999,13.15,15.174999999999999
PARIS 4E ARRONDISSEMENT,12.8,17.7,8.6,1996-04-01,Printemps,1996,12.237499999999999,7.449999999999999,13.15,15.174999999999999
PARIS 4E ARRONDISSEMENT,13.5,17.3,9.9,1996-05-01,Printemps,1996,12.237499999999999,7.449999999999999,13.15,15.174999999999999
PARIS 4E ARRONDISSEMENT,19.9,24.7,15.3,1996-06-01,Été,1996,12.237499999999999,7.449999999999999,13.15,15.174999999999999
PARIS 4E ARRONDISSEMENT,20.4,25.3,15.9,1996-07-01,Été,1996,12.237499999999999,7.449999999999999,13.15,15.174999999999999
PARIS 4E ARRONDISSEMENT,13.6,17.1,10.9,1996-10-01,Automne,1996,12.237499999999999,7.449999999999999,13.15,15.174999999999999
PARIS 4E ARRONDISSEMENT,12.0,16.8,7.6,1997-04-01,Printemps,1997,13.766666666666666,12.65,13.3,14.65
PARIS 4E ARRONDISSEMENT,16.0,20.6,11.7,1997-05-01,Printemps,1997,13.766666666666666,12.65,13.3,14.65
PARIS 4E ARRONDISSEMENT,13.3,17.4,10.2,1997-10-01,Automne,1997,13.766666666666666,12.65,13.3,14.65
PARIS 4E ARRONDISSEMENT,18.0,22.7,13.7,1998-05-01,Printemps,1998,17.366666666666667,15.45,18.0,19.6
PARIS 4E ARRONDISSEMENT,21.2,26.6,16.4,1998-08-01,Été,1998,17.366666666666667,15.45,18.0,19.6
PARIS 4E ARRONDISSEMENT,12.9,15.6,10.8,1998-10-01,Automne,1998,17.366666666666667,15.45,18.0,19.6
PARIS 4E ARRONDISSEMENT,17.9,22.5,13.8,1999-05-01,Printemps,1999,17.185714285714287,15.6,18.4,20.55
PARIS 4E ARRONDISSEMENT,18.4,22.9,14.5,1999-06-01,Été,1999,17.185714285714287,15.6,18.4,20.55
PARIS 4E ARRONDISSEMENT,22.7,27.6,18.0,1999-07-01,Été,1999,17.185714285714287,15.6,18.4,20.55
PARIS 4E ARRONDISSEMENT,21.3,26.3,17.3,1999-08-01,Été,1999,17.185714285714287,15.6,18.4,20.55
PARIS 4E ARRONDISSEMENT,19.8,24.2,16.3,1999-09-01,Automne,1999,17.185714285714287,15.6,18.4,20.55
PARIS 4E ARRONDISSEMENT,13.3,17.0,10.5,1999-10-01,Automne,1999,17.185714285714287,15.6,18.4,20.55
PARIS 4E ARRONDISSEMENT,6.9,9.1,4.8,1999-12-01,Hiver,1999,17.185714285714287,15.6,18.4,20.55
PARIS 4E ARRONDISSEMENT,5.8,7.7,4.1,2000-01-01,Hiver,2000,14.200000000000001,11.5,17.2,18.4
PARIS 4E ARRONDISSEMENT,17.2,21.7,13.5,2000-05-01,Printemps,2000,14.200000000000001,11.5,17.2,18.4
PARIS 4E ARRONDISSEMENT,19.6,24.3,15.3,2000-06-01,Été,2000,14.200000000000001,11.5,17.2,18.4
PARIS 6E ARRONDISSEMENT,17.5,24.4,11.8,2018-05-01,Printemps,2018,16.525,12.875,17.55,20.675
PARIS 6E ARRONDISSEMENT,20.3,26.3,15.2,2018-06-01,Été,2018,16.525,12.875,17.55,20.675
PARIS 6E ARRONDISSEMENT,24.4,31.1,18.6,2018-07-01,Été,2018,16.525,12.875,17.55,20.675
PARIS 6E ARRONDISSEMENT,21.8,28.5,16.3,2018-08-01,Été,2018,16.525,12.875,17.55,20.675
PARIS 6E ARRONDISSEMENT,17.6,24.8,12.2,2018-09-01,Automne,2018,16.525,12.875,17.55,20.675
PARIS 6E ARRONDISSEMENT,14.3,20.1,10.2,2018-10-01,Automne,2018,16.525,12.875,17.55,20.675
PARIS 6E ARRONDISSEMENT,8.6,11.8,6.2,2018-11-01,Automne,2018,16.525,12.875,17.55,20.675
PARIS 6E ARRONDISSEMENT,7.7,9.8,5.7,2018-12-01,Hiver,2018,16.525,12.875,17.55,20.675
PARIS 6E ARRONDISSEMENT,5.0,7.0,3.3,2019-01-01,Hiver,2019,13.6,8.649999999999999,13.149999999999999,18.325000000000003
PARIS 6E ARRONDISSEMENT,8.5,14.0,4.4,2019-02-01,Hiver,2019,13.6,8.649999999999999,13.149999999999999,18.325000000000003
PARIS 6E ARRONDISSEMENT,10.5,15.1,6.9,2019-03-01,Printemps,2019,13.6,8.649999999999999,13.149999999999999,18.325000000000003
PARIS 6E ARRONDISSEMENT,12.6,18.3,7.6,2019-04-01,Printemps,2019,13.6,8.649999999999999,13.149999999999999,18.325000000000003
PARIS 6E ARRONDISSEMENT,14.3,19.8,9.5,2019-05-01,Printemps,2019,13.6,8.649999999999999,13.149999999999999,18.325000000000003
PARIS 6E ARRONDISSEMENT,20.5,26.0,15.1,2019-06-01,Été,2019,13.6,8.649999999999999,13.149999999999999,18.325000000000003
PARIS 6E ARRONDISSEMENT,22.8,29.4,16.4,2019-07-01,Été,2019,13.6,8.649999999999999,13.149999999999999,18.325000000000003
PARIS 6E ARRONDISSEMENT,21.5,27.8,15.9,2019-08-01,Été,2019,13.6,8.649999999999999,13.149999999999999,18.325000000000003
PARIS 6E ARRONDISSEMENT,17.6,24.0,13.0,2019-09-01,Automne,2019,13.6,8.649999999999999,13.149999999999999,18.325000000000003
PARIS 6E ARRONDISSEMENT,13.7,17.6,11.1,2019-10-01,Automne,2019,13.6,8.649999999999999,13.149999999999999,18.325000000000003
PARIS 6E ARRONDISSEMENT,8.7,11.7,6.6,2019-11-01,Automne,2019,13.6,8.649999999999999,13.149999999999999,18.325000000000003
PARIS 6E ARRONDISSEMENT,7.5,10.1,5.4,2019-12-01,Hiver,2019,13.6,8.649999999999999,13.149999999999999,18.325000000000003
PARIS 6E ARRONDISSEMENT,7.2,10.1,4.8,2020-01-01,Hiver,2020,14.166666666666666,9.375,14.0,19.025
PARIS 6E ARRONDISSEMENT,9.3,12.9,7.0,2020-02-01,Hiver,2020,14.166666666666666,9.375,14.0,19.025
PARIS 6E ARRONDISSEMENT,9.4,14.1,5.7,2020-03-01,Printemps,2020,14.166666666666666,9.375,14.0,19.025
PARIS 6E ARRONDISSEMENT,15.1,22.4,9.3,2020-04-01,Printemps,2020,14.166666666666666,9.375,14.0,19.025
PARIS 6E ARRONDISSEMENT,16.8,23.7,10.7,2020-05-01,Printemps,2020,14.166666666666666,9.375,14.0,19.025
PARIS 6E ARRONDISSEMENT,19.1,24.7,14.3,2020-06-01,Été,2020,14.166666666666666,9.375,14.0,19.025
PARIS 6E ARRONDISSEMENT,21.2,27.6,15.2,2020-07-01,Été,2020,14.166666666666666,9.375,14.0,19.025
PARIS 6E ARRONDISSEMENT,22.5,29.3,17.2,2020-08-01,Été,2020,14.166666666666666,9.375,14.0,19.025
PARIS 6E ARRONDISSEMENT,19.0,25.9,13.9,2020-09-01,Automne,2020,14.166666666666666,9.375,14.0,19.025
PARIS 6E ARRONDISSEMENT,12.9,16.8,10.5,2020-10-01,Automne,2020,14.166666666666666,9.375,14.0,19.025
PARIS 6E ARRONDISSEMENT,10.3,14.3,7.5,2020-11-01,Automne,2020,14.166666666666666,9.375,14.0,19.025
PARIS 6E ARRONDISSEMENT,7.2,9.4,5.5,2020-12-01,Hiver,2020,14.166666666666666,9.375,14.0,19.025
PARIS 6E ARRONDISSEMENT,5.3,7.8,3.3,2021-01-01,Hiver,2021,12.775,7.6,11.7,18.95
PARIS 6E ARRONDISSEMENT,7.4,10.9,4.6,2021-02-01,Hiver,2021,12.775,7.6,11.7,18.95
PARIS 6E ARRONDISSEMENT,9.2,14.8,4.8,2021-03-01,Printemps,2021,12.775,7.6,11.7,18.95
PARIS 6E ARRONDISSEMENT,10.4,17.0,4.9,2021-04-01,Printemps,2021,12.775,7.6,11.7,18.95
PARIS 6E ARRONDISSEMENT,13.7,18.8,9.4,2021-05-01,Printemps,2021,12.775,7.6,11.7,18.95
PARIS 6E ARRONDISSEMENT,20.4,26.0,15.4,2021-06-01,Été,2021,12.775,7.6,11.7,18.95
PARIS 6E ARRONDISSEMENT,20.5,25.5,16.2,2021-07-01,Été,2021,12.775,7.6,11.7,18.95
PARIS 6E ARRONDISSEMENT,19.4,24.9,15.1,2021-08-01,Été,2021,12.775,7.6,11.7,18.95
PARIS 6E ARRONDISSEMENT,18.8,25.3,14.0,2021-09-01,Automne,2021,12.775,7.6,11.7,18.95
PARIS 6E ARRONDISSEMENT,13.0,18.5,9.1,2021-10-01,Automne,2021,12.775,7.6,11.7,18.95
PARIS 6E ARRONDISSEMENT,7.6,11.2,5.1,2021-11-01,Automne,2021,12.775,7.6,11.7,18.95
PARIS 6E ARRONDISSEMENT,7.6,10.0,5.7,2021-12-01,Hiver,2021,12.775,7.6,11.7,18.95
PARIS 6E ARRONDISSEMENT,5.7,8.2,3.6,2022-01-01,Hiver,2022,14.233333333333334,9.975,14.3,18.45
PARIS 6E ARRONDISSEMENT,8.7,12.4,5.8,2022-02-01,Hiver,2022,14.233333333333334,9.975,14.3,18.45
PARIS 6E ARRONDISSEMENT,10.6,15.9,6.1,2022-03-01,Printemps,2022,14.233333333333334,9.975,14.3,18.45
PARIS 6E ARRONDISSEMENT,12.5,18.3,7.2,2022-04-01,Printemps,2022,14.233333333333334,9.975,14.3,18.45
PARIS 6E ARRONDISSEMENT,17.8,24.0,12.2,2022-05-01,Printemps,2022,14.233333333333334,9.975,14.3,18.45
PARIS 6E ARRONDISSEMENT,20.4,26.4,14.8,2022-06-01,Été,2022,14.233333333333334,9.975,14.3,18.45
PARIS 6E ARRONDISSEMENT,22.8,29.9,16.0,2022-07-01,Été,2022,14.233333333333334,9.975,14.3,18.45
PARIS 6E ARRONDISSEMENT,22.9,30.3,16.9,2022-08-01,Été,2022,14.233333333333334,9.975,14.3,18.45
PARIS 6E ARRONDISSEMENT,17.1,23.0,13.0,2022-09-01,Automne,2022,14.233333333333334,9.975,14.3,18.45
PARIS 6E ARRONDISSEMENT,16.1,21.3,12.5,2022-10-01,Automne,2022,14.233333333333334,9.975,14.3,18.45
PARIS 6E ARRONDISSEMENT,10.4,13.7,8.2,2022-11-01,Automne,2022,14.233333333333334,9.975,14.3,18.45
PARIS 6E ARRONDISSEMENT,5.8,7.9,3.9,2022-12-01,Hiver,2022,14.233333333333334,9.975,14.3,18.45
PARIS 6E ARRONDISSEMENT,6.8,8.8,4.9,2023-01-01,Hiver,2023,14.183333333333332,9.525,13.350000000000001,20.650000000000002
PARIS 6E ARRONDISSEMENT,7.5,11.9,4.4,2023-02-01,Hiver,2023,14.183333333333332,9.525,13.350000000000001,20.650000000000002
PARIS 6E ARRONDISSEMENT,10.1,13.9,7.0,2023-03-01,Printemps,2023,14.183333333333332,9.525,13.350000000000001,20.650000000000002
PARIS 6E ARRONDISSEMENT,11.4,16.7,7.3,2023-04-01,Printemps,2023,14.183333333333332,9.525,13.350000000000001,20.650000000000002
PARIS 6E ARRONDISSEMENT,16.2,22.2,10.8,2023-05-01,Printemps,2023,14.183333333333332,9.525,13.350000000000001,20.650000000000002
PARIS 6E ARRONDISSEMENT,22.2,28.8,16.1,2023-06-01,Été,2023,14.183333333333332,9.525,13.350000000000001,20.650000000000002
PARIS 6E ARRONDISSEMENT,21.0,26.3,16.3,2023-07-01,Été,2023,14.183333333333332,9.525,13.350000000000001,20.650000000000002
PARIS 6E ARRONDISSEMENT,20.6,26.2,16.2,2023-08-01,Été,2023,14.183333333333332,9.525,13.350000000000001,20.650000000000002
PARIS 6E ARRONDISSEMENT,20.8,27.5,15.8,2023-09-01,Automne,2023,14.183333333333332,9.525,13.350000000000001,20.650000000000002
PARIS 6E ARRONDISSEMENT,15.3,20.8,11.6,2023-10-01,Automne,2023,14.183333333333332,9.525,13.350000000000001,20.650000000000002
PARIS 6E ARRONDISSEMENT,9.9,12.8,7.8,2023-11-01,Automne,2023,14.183333333333332,9.525,13.350000000000001,20.650000000000002
PARIS 6E ARRONDISSEMENT,8.4,10.5,6.6,2023-12-01,Hiver,2023,14.183333333333332,9.525,13.350000000000001,20.650000000000002
