Commune,Température moyenne mensuelle,Température maximale,Température minimale,Date,Saison,Année,Température moyenne annuelle,Centile_25%,Centile_50% (Médiane),Centile_75%
ANAA,28.4,30.8,26.1,2013-03-01,Printemps,2013,26.24,25.175,26.0,27.175
ANAA,27.9,30.2,25.5,2013-04-01,Printemps,2013,26.24,25.175,26.0,27.175
ANAA,27.2,29.2,25.3,2013-05-01,Printemps,2013,26.24,25.175,26.0,27.175
ANAA,25.8,27.9,23.8,2013-06-01,Été,2013,26.24,25.175,26.0,27.175
ANAA,24.6,26.8,22.4,2013-07-01,Été,2013,26.24,25.175,26.0,27.175
ANAA,24.5,26.9,22.8,2013-08-01,Été,2013,26.24,25.175,26.0,27.175
ANAA,25.0,27.1,23.0,2013-09-01,Automne,2013,26.24,25.175,26.0,27.175
ANAA,25.7,28.0,23.8,2013-10-01,Automne,2013,26.24,25.175,26.0,27.175
ANAA,26.2,28.7,24.2,2013-11-01,Automne,2013,26.24,25.175,26.0,27.175
ANAA,27.1,29.4,24.9,2013-12-01,Hiver,2013,26.24,25.175,26.0,27.175
ANAA,27.4,29.7,25.0,2014-01-01,Hiver,2014,26.808333333333334,26.1,26.85,27.45
ANAA,27.8,30.2,25.3,2014-02-01,Hiver,2014,26.808333333333334,26.1,26.85,27.45
ANAA,27.7,30.0,25.6,2014-03-01,Printemps,2014,26.808333333333334,26.1,26.85,27.45
ANAA,27.4,29.7,25.7,2014-04-01,Printemps,2014,26.808333333333334,26.1,26.85,27.45
ANAA,26.9,28.9,25.1,2014-05-01,Printemps,2014,26.808333333333334,26.1,26.85,27.45
ANAA,26.2,28.3,23.9,2014-06-01,Été,2014,26.808333333333334,26.1,26.85,27.45
ANAA,26.1,28.3,24.2,2014-07-01,Été,2014,26.808333333333334,26.1,26.85,27.45
ANAA,25.8,28.0,23.9,2014-08-01,Été,2014,26.808333333333334,26.1,26.85,27.45
ANAA,25.9,28.1,24.0,2014-09-01,Automne,2014,26.808333333333334,26.1,26.85,27.45
ANAA,26.1,28.7,24.0,2014-10-01,Automne,2014,26.808333333333334,26.1,26.85,27.45
ANAA,26.8,29.1,24.6,2014-11-01,Automne,2014,26.808333333333334,26.1,26.85,27.45
ANAA,27.6,30.0,25.3,2014-12-01,Hiver,2014,26.808333333333334,26.1,26.85,27.45
ANAA,27.7,30.1,25.3,2015-01-01,Hiver,2015,26.84166666666667,25.75,27.05,27.8
ANAA,28.1,30.4,26.1,2015-02-01,Hiver,2015,26.84166666666667,25.75,27.05,27.8
