Commune,Température moyenne mensuelle,Température maximale,Température minimale,Date,Saison,Année,Température moyenne annuelle,Centile_25%,Centile_50% (Médiane),Centile_75%
ANTIGNY,16.7,21.9,12.5,2021-06-01,Été,2021,14.028571428571428,9.4,16.7,18.55
ANTIGNY,19.1,24.7,14.0,2021-07-01,Été,2021,14.028571428571428,9.4,16.7,18.55
ANTIGNY,18.5,24.1,13.4,2021-08-01,Été,2021,14.028571428571428,9.4,16.7,18.55
ANTIGNY,18.6,25.4,13.0,2021-09-01,Automne,2021,14.028571428571428,9.4,16.7,18.55
ANTIGNY,12.0,18.7,6.6,2021-10-01,Automne,2021,14.028571428571428,9.4,16.7,18.55
ANTIGNY,6.5,11.3,2.7,2021-11-01,Automne,2021,14.028571428571428,9.4,16.7,18.55
ANTIGNY,6.8,10.6,3.7,2021-12-01,Hiver,2021,14.028571428571428,9.4,16.7,18.55
ANTIGNY,4.8,8.6,1.8,2022-01-01,Hiver,2022,13.825000000000001,9.0,13.899999999999999,17.95
ANTIGNY,7.2,12.4,2.6,2022-02-01,Hiver,2022,13.825000000000001,9.0,13.899999999999999,17.95
ANTIGNY,10.0,15.2,5.3,2022-03-01,Printemps,2022,13.825000000000001,9.0,13.899999999999999,17.95
ANTIGNY,11.6,17.4,6.1,2022-04-01,Printemps,2022,13.825000000000001,9.0,13.899999999999999,17.95
ANTIGNY,17.3,23.8,10.9,2022-05-01,Printemps,2022,13.825000000000001,9.0,13.899999999999999,17.95
ANTIGNY,19.9,26.3,13.8,2022-06-01,Été,2022,13.825000000000001,9.0,13.899999999999999,17.95
ANTIGNY,22.8,30.3,14.9,2022-07-01,Été,2022,13.825000000000001,9.0,13.899999999999999,17.95
ANTIGNY,23.4,30.2,17.1,2022-08-01,Été,2022,13.825000000000001,9.0,13.899999999999999,17.95
ANTIGNY,16.9,23.6,11.4,2022-09-01,Automne,2022,13.825000000000001,9.0,13.899999999999999,17.95
ANTIGNY,16.2,21.3,11.8,2022-10-01,Automne,2022,13.825000000000001,9.0,13.899999999999999,17.95
ANTIGNY,9.6,15.2,5.3,2022-11-01,Automne,2022,13.825000000000001,9.0,13.899999999999999,17.95
ANTIGNY,6.2,9.1,3.2,2022-12-01,Hiver,2022,13.825000000000001,9.0,13.899999999999999,17.95
ANTIGNY,6.1,9.1,3.4,2023-01-01,Hiver,2023,13.516666666666666,8.925,13.05,19.700000000000003
ANTIGNY,6.0,11.1,2.0,2023-02-01,Hiver,2023,13.516666666666666,8.925,13.05,19.700000000000003
ANTIGNY,9.3,14.0,5.2,2023-03-01,Printemps,2023,13.516666666666666,8.925,13.05,19.700000000000003
ANTIGNY,11.2,16.6,6.0,2023-04-01,Printemps,2023,13.516666666666666,8.925,13.05,19.700000000000003
ANTIGNY,15.9,21.7,10.5,2023-05-01,Printemps,2023,13.516666666666666,8.925,13.05,19.700000000000003
ANTIGNY,21.5,27.9,15.1,2023-06-01,Été,2023,13.516666666666666,8.925,13.05,19.700000000000003
ANTIGNY,19.6,26.4,13.3,2023-07-01,Été,2023,13.516666666666666,8.925,13.05,19.700000000000003
ANTIGNY,20.2,26.5,14.6,2023-08-01,Été,2023,13.516666666666666,8.925,13.05,19.700000000000003
ANTIGNY,20.0,27.2,14.1,2023-09-01,Automne,2023,13.516666666666666,8.925,13.05,19.700000000000003
ANTIGNY,14.9,21.4,9.7,2023-10-01,Automne,2023,13.516666666666666,8.925,13.05,19.700000000000003
ANTIGNY,9.7,13.8,6.2,2023-11-01,Automne,2023,13.516666666666666,8.925,13.05,19.700000000000003
