Commune,Température moyenne mensuelle,Température maximale,Température minimale,Date,Saison,Année,Température moyenne annuelle,Centile_25%,Centile_50% (Médiane),Centile_75%
ARCHIAC,17.7,24.5,10.8,1990-09-01,Automne,1990,16.05,15.225,16.05,16.875
ARCHIAC,14.4,19.3,9.6,1990-10-01,Automne,1990,16.05,15.225,16.05,16.875
ARCHIAC,4.5,9.2,0.5,1991-12-01,Hiver,1991,4.5,4.5,4.5,4.5
ARCHIAC,3.2,7.8,-0.8,1992-01-01,Hiver,1992,8.98,5.8,8.8,10.5
ARCHIAC,5.8,11.7,0.7,1992-02-01,Hiver,1992,8.98,5.8,8.8,10.5
ARCHIAC,8.8,14.2,4.2,1992-03-01,Printemps,1992,8.98,5.8,8.8,10.5
ARCHIAC,10.5,16.5,5.0,1992-04-01,Printemps,1992,8.98,5.8,8.8,10.5
ARCHIAC,16.6,23.6,9.7,1992-05-01,Printemps,1992,8.98,5.8,8.8,10.5
ARCHIAC,10.7,16.1,6.1,1994-03-01,Printemps,1994,14.4,12.55,14.4,16.25
ARCHIAC,18.1,24.7,11.4,1994-06-01,Été,1994,14.4,12.55,14.4,16.25
ARCHIAC,6.0,9.9,2.6,1995-01-01,Hiver,1995,7.2,6.6,7.2,7.800000000000001
ARCHIAC,8.4,13.9,3.9,1995-03-01,Printemps,1995,7.2,6.6,7.2,7.800000000000001
ARCHIAC,20.1,27.4,13.0,1996-07-01,Été,1996,20.1,20.1,20.1,20.1
ARCHIAC,8.6,13.4,4.3,1997-02-01,Hiver,1997,10.875,8.225,9.7,12.350000000000001
ARCHIAC,10.8,17.5,4.5,1997-03-01,Printemps,1997,10.875,8.225,9.7,12.350000000000001
ARCHIAC,17.0,23.1,11.7,1997-06-01,Été,1997,10.875,8.225,9.7,12.350000000000001
ARCHIAC,7.1,10.7,4.1,1997-12-01,Hiver,1997,10.875,8.225,9.7,12.350000000000001
ARCHIAC,20.3,29.0,11.9,1998-08-01,Été,1998,20.3,20.3,20.3,20.3
ARCHIAC,8.0,12.4,4.1,2000-02-01,Hiver,2000,12.1,10.05,12.1,14.149999999999999
ARCHIAC,16.2,22.4,10.8,2000-05-01,Printemps,2000,12.1,10.05,12.1,14.149999999999999
ARCHIAC,7.3,10.4,4.7,2001-01-01,Hiver,2001,8.1,7.0,7.3,8.8
ARCHIAC,10.3,15.0,6.5,2001-04-01,Printemps,2001,8.1,7.0,7.3,8.8
ARCHIAC,6.7,11.2,2.9,2001-11-01,Automne,2001,8.1,7.0,7.3,8.8
ARCHIAC,14.3,20.4,9.0,2002-05-01,Printemps,2002,14.38,13.8,14.3,15.7
ARCHIAC,18.4,24.4,13.6,2002-08-01,Été,2002,14.38,13.8,14.3,15.7
ARCHIAC,15.7,23.2,9.1,2002-09-01,Automne,2002,14.38,13.8,14.3,15.7
ARCHIAC,13.8,19.1,9.5,2002-10-01,Automne,2002,14.38,13.8,14.3,15.7
ARCHIAC,9.7,14.3,6.7,2002-11-01,Automne,2002,14.38,13.8,14.3,15.7
ARCHIAC,15.3,21.1,9.5,2003-05-01,Printemps,2003,14.36,11.4,15.3,17.4
ARCHIAC,21.0,28.1,14.0,2003-07-01,Été,2003,14.36,11.4,15.3,17.4
ARCHIAC,17.4,25.5,10.0,2003-09-01,Automne,2003,14.36,11.4,15.3,17.4
ARCHIAC,11.4,17.0,6.6,2003-10-01,Automne,2003,14.36,11.4,15.3,17.4
ARCHIAC,6.7,10.5,3.3,2003-12-01,Hiver,2003,14.36,11.4,15.3,17.4
ARCHIAC,14.2,19.5,10.1,2004-10-01,Automne,2004,8.866666666666667,6.2,7.4,10.8
ARCHIAC,7.4,12.2,3.8,2004-11-01,Automne,2004,8.866666666666667,6.2,7.4,10.8
ARCHIAC,5.0,8.9,1.7,2004-12-01,Hiver,2004,8.866666666666667,6.2,7.4,10.8
ARCHIAC,6.1,9.7,2.9,2005-01-01,Hiver,2005,13.040000000000001,7.2749999999999995,13.8,18.725
ARCHIAC,3.9,8.3,0.3,2005-02-01,Hiver,2005,13.040000000000001,7.2749999999999995,13.8,18.725
ARCHIAC,8.7,14.8,3.3,2005-03-01,Printemps,2005,13.040000000000001,7.2749999999999995,13.8,18.725
ARCHIAC,11.9,17.7,7.0,2005-04-01,Printemps,2005,13.040000000000001,7.2749999999999995,13.8,18.725
ARCHIAC,15.7,22.2,9.6,2005-05-01,Printemps,2005,13.040000000000001,7.2749999999999995,13.8,18.725
ARCHIAC,20.6,27.7,13.3,2005-06-01,Été,2005,13.040000000000001,7.2749999999999995,13.8,18.725
ARCHIAC,20.8,27.4,14.0,2005-07-01,Été,2005,13.040000000000001,7.2749999999999995,13.8,18.725
ARCHIAC,19.5,27.2,12.1,2005-08-01,Été,2005,13.040000000000001,7.2749999999999995,13.8,18.725
ARCHIAC,16.4,24.3,10.2,2005-09-01,Automne,2005,13.040000000000001,7.2749999999999995,13.8,18.725
ARCHIAC,6.8,12.0,2.6,2005-11-01,Automne,2005,13.040000000000001,7.2749999999999995,13.8,18.725
ARCHIAC,5.3,8.1,2.6,2006-01-01,Hiver,2006,5.3,5.3,5.3,5.3
BOUTENAC,17.8,21.9,14.1,2006-08-01,Été,2006,14.219999999999999,11.5,16.7,17.8
BOUTENAC,19.5,24.7,15.4,2006-09-01,Automne,2006,14.219999999999999,11.5,16.7,17.8
BOUTENAC,16.7,21.3,13.3,2006-10-01,Automne,2006,14.219999999999999,11.5,16.7,17.8
