Commune,Température moyenne mensuelle,Température maximale,Température minimale,Date,Saison,Année,Température moyenne annuelle,Centile_25%,Centile_50% (Médiane),Centile_75%
ANTIBES,21.3,26.0,17.5,1968-08-01,Été,1968,14.133333333333333,10.55,12.2,16.75
ANTIBES,12.2,15.6,9.5,1968-11-01,Automne,1968,14.133333333333333,10.55,12.2,16.75
ANTIBES,8.9,12.1,6.3,1968-12-01,Hiver,1968,14.133333333333333,10.55,12.2,16.75
ANTIBES,7.0,10.8,3.9,1969-02-01,Hiver,1969,15.677777777777777,12.4,16.4,20.1
ANTIBES,13.1,17.2,9.8,1969-04-01,Printemps,1969,15.677777777777777,12.4,16.4,20.1
ANTIBES,16.4,20.2,13.5,1969-05-01,Printemps,1969,15.677777777777777,12.4,16.4,20.1
ANTIBES,18.6,22.7,15.1,1969-06-01,Été,1969,15.677777777777777,12.4,16.4,20.1
ANTIBES,22.7,27.6,19.1,1969-07-01,Été,1969,15.677777777777777,12.4,16.4,20.1
ANTIBES,23.1,27.9,19.4,1969-08-01,Été,1969,15.677777777777777,12.4,16.4,20.1
ANTIBES,20.1,25.0,16.9,1969-09-01,Automne,1969,15.677777777777777,12.4,16.4,20.1
ANTIBES,12.4,15.8,9.7,1969-11-01,Automne,1969,15.677777777777777,12.4,16.4,20.1
ANTIBES,7.7,11.5,5.0,1969-12-01,Hiver,1969,15.677777777777777,12.4,16.4,20.1
ANTIBES,9.5,13.5,6.6,1970-02-01,Hiver,1970,12.166666666666666,9.274999999999999,11.2,15.15
ANTIBES,9.2,13.4,6.1,1970-03-01,Printemps,1970,12.166666666666666,9.274999999999999,11.2,15.15
ANTIBES,12.9,17.9,9.1,1970-04-01,Printemps,1970,12.166666666666666,9.274999999999999,11.2,15.15
ANTIBES,15.9,20.4,12.5,1970-05-01,Printemps,1970,12.166666666666666,9.274999999999999,11.2,15.15
ANTIBES,16.8,20.9,13.4,1970-10-01,Automne,1970,12.166666666666666,9.274999999999999,11.2,15.15
ANTIBES,8.7,12.1,6.0,1970-12-01,Hiver,1970,12.166666666666666,9.274999999999999,11.2,15.15
ANTIBES,9.2,13.6,6.2,1971-02-01,Hiver,1971,16.466666666666665,11.5,17.2,20.4
ANTIBES,8.0,12.0,4.7,1971-03-01,Printemps,1971,16.466666666666665,11.5,17.2,20.4
ANTIBES,14.2,17.4,11.4,1971-04-01,Printemps,1971,16.466666666666665,11.5,17.2,20.4
ANTIBES,19.2,23.4,15.9,1971-06-01,Été,1971,16.466666666666665,11.5,17.2,20.4
ANTIBES,23.9,28.8,20.2,1971-07-01,Été,1971,16.466666666666665,11.5,17.2,20.4
ANTIBES,24.6,29.2,20.9,1971-08-01,Été,1971,16.466666666666665,11.5,17.2,20.4
ANTIBES,20.4,24.8,17.3,1971-09-01,Automne,1971,16.466666666666665,11.5,17.2,20.4
ANTIBES,17.2,21.2,14.4,1971-10-01,Automne,1971,16.466666666666665,11.5,17.2,20.4
ANTIBES,11.5,15.3,8.5,1971-11-01,Automne,1971,16.466666666666665,11.5,17.2,20.4
ANTIBES,10.0,12.7,8.0,1972-02-01,Hiver,1972,14.75,12.325,13.850000000000001,16.075
ANTIBES,11.5,15.6,8.3,1972-03-01,Printemps,1972,14.75,12.325,13.850000000000001,16.075
ANTIBES,12.6,17.4,9.3,1972-04-01,Printemps,1972,14.75,12.325,13.850000000000001,16.075
ANTIBES,15.2,19.8,11.4,1972-05-01,Printemps,1972,14.75,12.325,13.850000000000001,16.075
ANTIBES,18.7,23.0,15.3,1972-06-01,Été,1972,14.75,12.325,13.850000000000001,16.075
ANTIBES,22.3,27.3,18.4,1972-07-01,Été,1972,14.75,12.325,13.850000000000001,16.075
ANTIBES,14.9,18.7,11.6,1972-10-01,Automne,1972,14.75,12.325,13.850000000000001,16.075
ANTIBES,12.8,16.4,9.8,1972-11-01,Automne,1972,14.75,12.325,13.850000000000001,16.075
ANTIBES,8.4,12.3,5.4,1973-01-01,Hiver,1973,13.9,9.45,11.55,17.35
ANTIBES,9.7,14.4,6.0,1973-03-01,Printemps,1973,13.9,9.45,11.55,17.35
ANTIBES,11.5,16.1,7.2,1973-04-01,Printemps,1973,13.9,9.45,11.55,17.35
ANTIBES,20.8,25.3,17.4,1973-06-01,Été,1973,13.9,9.45,11.55,17.35
ANTIBES,24.3,29.3,20.7,1973-08-01,Été,1973,13.9,9.45,11.55,17.35
ANTIBES,16.2,20.6,12.9,1973-10-01,Automne,1973,13.9,9.45,11.55,17.35
ANTIBES,11.6,15.3,8.7,1973-11-01,Automne,1973,13.9,9.45,11.55,17.35
ANTIBES,8.7,12.6,6.0,1973-12-01,Hiver,1973,13.9,9.45,11.55,17.35
ANTIBES,9.9,13.0,7.9,1974-01-01,Hiver,1974,13.700000000000001,10.45,11.2,15.799999999999999
ANTIBES,9.8,13.5,7.3,1974-02-01,Hiver,1974,13.700000000000001,10.45,11.2,15.799999999999999
ANTIBES,11.0,15.2,8.1,1974-03-01,Printemps,1974,13.700000000000001,10.45,11.2,15.799999999999999
